side,price,quantity
buy,9.131e-05,11.0
buy,9.141e-05,11.0
buy,9.161e-05,11.0
buy,9.229e-05,17.0
buy,9.171e-05,18.0
buy,9.242e-05,18.0
buy,9.178e-05,20.0
buy,9.17e-05,20.0
buy,9.153e-05,21.0
buy,9.125e-05,22.0
buy,9.186e-05,24.0
buy,9.162e-05,25.0
buy,9.207e-05,27.0
buy,9.139e-05,32.0
buy,9.212e-05,32.0
buy,9.231e-05,32.0
buy,9.136e-05,38.0
buy,9.167e-05,39.0
buy,9.192e-05,39.0
buy,9.225e-05,50.0
buy,9.26e-05,78.0
buy,9.172e-05,91.0
buy,9.146e-05,100.0
buy,9.191e-05,100.0
buy,9.151e-05,101.0
buy,9.135e-05,103.0
buy,9.236e-05,107.0
buy,9.174e-05,116.0
buy,9.203e-05,133.0
buy,9.217e-05,136.0
buy,9.156e-05,170.0
buy,9.244e-05,192.0
buy,9.25e-05,200.0
buy,9.257e-05,214.0
buy,9.175e-05,286.0
buy,9.155e-05,304.0
buy,9.232e-05,304.0
buy,9.147e-05,316.0
buy,9.247e-05,324.0
buy,9.168e-05,329.0
buy,9.206e-05,365.0
buy,9.213e-05,398.0
buy,9.148e-05,410.0
buy,9.227e-05,452.0
buy,9.245e-05,475.0
buy,9.132e-05,491.0
buy,9.256e-05,500.0
buy,9.216e-05,502.0
buy,9.188e-05,516.0
buy,9.209e-05,538.0
buy,9.204e-05,540.0
buy,9.18e-05,553.0
buy,9.14e-05,637.0
buy,9.128e-05,647.0
buy,9.137e-05,666.0
buy,9.16e-05,696.0
buy,9.133e-05,703.0
buy,9.193e-05,721.0
buy,9.123e-05,740.0
buy,9.235e-05,820.0
buy,9.145e-05,1000.0
buy,9.259e-05,1002.0
buy,9.149e-05,1012.0
buy,9.258e-05,1081.0
buy,9.208e-05,1086.0
buy,9.24e-05,1119.0
buy,9.252e-05,1150.0
buy,9.23e-05,1187.0
buy,9.218e-05,1323.0
buy,9.241e-05,1524.0
buy,9.144e-05,1572.0
buy,9.21e-05,1706.0
buy,9.221e-05,1794.0
buy,9.13e-05,1806.0
buy,9.165e-05,2050.0
buy,9.166e-05,2080.0
buy,9.226e-05,2267.0
buy,9.189e-05,2329.0
buy,9.195e-05,2885.0
buy,9.194e-05,2920.0
buy,9.222e-05,3035.0
buy,9.201e-05,3403.0
buy,9.122e-05,3842.0
buy,9.173e-05,3998.0
buy,9.202e-05,4054.0
buy,9.233e-05,4108.0
buy,9.243e-05,4967.0
buy,9.239e-05,5215.0
buy,9.234e-05,5308.0
buy,9.196e-05,5397.0
buy,9.205e-05,5686.0
buy,9.19e-05,6801.0
buy,9.157e-05,8088.0
buy,9.253e-05,8464.0
buy,9.215e-05,10794.0
buy,9.22e-05,10799.0
buy,9.15e-05,15342.0
buy,9.163e-05,16353.0
buy,9.2e-05,33578.0
buy,9.185e-05,55147.0
sell,9.359e-05,13.0
sell,9.351e-05,15.0
sell,9.318e-05,19.0
sell,9.328e-05,20.0
sell,9.379e-05,20.0
sell,9.361e-05,21.0
sell,9.331e-05,27.0
sell,9.396e-05,37.0
sell,9.279e-05,40.0
sell,9.383e-05,40.0
sell,9.373e-05,49.0
sell,9.405e-05,50.0
sell,9.36e-05,54.0
sell,9.337e-05,57.0
sell,9.385e-05,58.0
sell,9.349e-05,61.0
sell,9.401e-05,66.0
sell,9.336e-05,90.0
sell,9.413e-05,105.0
sell,9.342e-05,106.0
sell,9.381e-05,111.0
sell,9.387e-05,116.0
sell,9.412e-05,127.0
sell,9.327e-05,128.0
sell,9.408e-05,132.0
sell,9.291e-05,133.0
sell,9.306e-05,143.0
sell,9.422e-05,151.0
sell,9.33e-05,182.0
sell,9.348e-05,191.0
sell,9.406e-05,196.0
sell,9.374e-05,202.0
sell,9.37e-05,229.0
sell,9.357e-05,238.0
sell,9.416e-05,257.0
sell,9.344e-05,263.0
sell,9.266e-05,269.0
sell,9.352e-05,274.0
sell,9.283e-05,285.0
sell,9.292e-05,309.0
sell,9.325e-05,310.0
sell,9.314e-05,316.0
sell,9.358e-05,437.0
sell,9.415e-05,454.0
sell,9.391e-05,479.0
sell,9.355e-05,594.0
sell,9.282e-05,607.0
sell,9.398e-05,611.0
sell,9.34e-05,665.0
sell,9.308e-05,832.0
sell,9.329e-05,852.0
sell,9.378e-05,854.0
sell,9.296e-05,864.0
sell,9.367e-05,882.0
sell,9.288e-05,905.0
sell,9.311e-05,962.0
sell,9.284e-05,990.0
sell,9.32e-05,1012.0
sell,9.356e-05,1085.0
sell,9.41e-05,1161.0
sell,9.395e-05,1268.0
sell,9.317e-05,1449.0
sell,9.39e-05,1491.0
sell,9.293e-05,1614.0
sell,9.38e-05,1690.0
sell,9.276e-05,1714.0
