side,price,quantity
buy,9.249e-05,121.90417048
buy,9.216e-05,125.0
buy,9.222e-05,125.0
buy,9.224e-05,125.0
buy,9.226e-05,125.0
buy,9.228e-05,125.0
buy,9.232e-05,125.0
buy,9.234e-05,125.0
buy,9.236e-05,125.0
buy,9.238e-05,125.0
buy,9.23e-05,125.0
buy,9.24e-05,281.21045243
buy,9.214e-05,391.67472413
buy,9.248e-05,613.31905973
buy,9.218e-05,736.09861141
buy,9.242e-05,757.99328024
buy,9.22e-05,1096.595468
buy,9.244e-05,4589.023672
buy,9.225e-05,5700.0
buy,9.246e-05,6559.48784354
buy,9.241e-05,6560.60357552
buy,9.243e-05,6693.035508
buy,9.211e-05,6998.7
buy,9.212e-05,7123.7
buy,9.215e-05,18534.81183599
sell,9.299e-05,80.2
sell,9.266e-05,125.0
sell,9.268e-05,125.0
sell,9.272e-05,125.0
sell,9.274e-05,125.0
sell,9.278e-05,125.0
sell,9.27e-05,125.0
sell,9.282e-05,125.0
sell,9.284e-05,125.0
sell,9.286e-05,125.0
sell,9.288e-05,125.0
sell,9.294e-05,125.0
sell,9.296e-05,125.0
sell,9.298e-05,125.0
sell,9.302e-05,125.0
sell,9.28e-05,425.0
sell,9.292e-05,475.0
sell,9.263e-05,600.0
sell,9.279e-05,613.31905973
sell,9.301e-05,1000.0
sell,9.262e-05,1019.97999655
sell,9.3e-05,2695.47329124
sell,9.29e-05,4442.41509631
sell,9.276e-05,4906.493873
sell,9.289e-05,5317.17870048
