side,price,quantity
buy,1057.0,6537.0036
buy,1037.0,15116.0138
buy,1044.0,15539.6198
buy,1039.0,16253.781
buy,1019.0,22464.177
buy,1056.0,22731.735576
buy,1027.0,22869.1719
buy,1028.0,27107.8979
buy,1046.0,28136.081
buy,1048.0,29185.2784
buy,1029.0,29257.9946
buy,1026.0,32158.2251
buy,1043.0,33220.8315
buy,1023.0,38450.3752
buy,1034.0,40431.7562
buy,1049.0,42724.9943
buy,1013.0,44462.045
buy,1042.0,48015.134
buy,1032.0,51814.566
buy,1024.0,57929.1559
buy,1052.0,60507.4535
buy,1038.0,61064.847
buy,1031.0,64289.6357
buy,1054.0,66395.4874
buy,1047.0,67938.6655
buy,1008.0,69929.4675
buy,1017.0,78104.5204
buy,1036.0,82763.0655
buy,1018.0,91780.936
buy,1022.0,91986.0094
buy,1025.0,114164.3645
buy,1021.0,115509.0943
buy,1014.0,116222.5361
buy,1016.0,116387.3453
buy,1051.0,124716.0595
buy,1053.0,127300.6621
buy,1055.0,131270.0842
buy,1035.0,141281.6234
buy,1015.0,143265.1139
buy,1009.0,143294.1344
buy,1012.0,144865.4347
buy,1040.0,165147.653
buy,1045.0,209116.7412
buy,1041.0,251630.5942
buy,1050.0,337848.234
buy,1011.0,421626.2696
buy,1033.0,425843.7826
buy,1030.0,510740.9909
buy,1020.0,546789.2098
buy,1010.0,613915.2599
sell,1091.0,1011.0
sell,1101.0,1136.0936
sell,1060.0,1452.5641
sell,1062.0,2593.5602
sell,1059.0,2597.1093
sell,1089.0,3710.2257
sell,1071.0,3830.5924
sell,1094.0,4257.8921
sell,1103.0,5749.8364
sell,1058.0,5823.807193
sell,1102.0,6207.5848
sell,1061.0,6674.233315
sell,1076.0,7735.0469
sell,1104.0,8816.59147
sell,1086.0,9039.5233
sell,1092.0,9622.4512
sell,1107.0,12861.0422
sell,1063.0,13081.3426
sell,1073.0,13854.7475
sell,1096.0,14818.3386
sell,1085.0,19283.1167
sell,1065.0,21189.8298
sell,1083.0,21233.2266
sell,1064.0,22539.621738
sell,1082.0,24605.1912
sell,1087.0,29489.1833
sell,1106.0,30863.9416
sell,1074.0,36618.7901
sell,1093.0,37781.4098
sell,1075.0,38425.447
sell,1068.0,41141.9933
sell,1090.0,41451.7202
sell,1067.0,42499.225267
sell,1066.0,42588.2004
sell,1078.0,43235.7357
sell,1088.0,45914.5774
sell,1105.0,49256.3003
sell,1081.0,68878.8998
sell,1077.0,70519.5404
sell,1084.0,71498.091
sell,1099.0,74891.5515
sell,1079.0,75660.6412
sell,1080.0,95829.7328
sell,1095.0,98973.7846
sell,1072.0,107636.0903
sell,1098.0,116158.5401
sell,1069.0,130989.3813
sell,1097.0,139531.1477
sell,1070.0,365762.956551
sell,1100.0,371208.1846
