side,price,quantity
buy,2.709e-05,10.0
buy,8.687e-05,10.62973174
buy,9.216e-05,11.30917508
buy,9.213e-05,11.31673844
buy,8.617e-05,12.0
buy,8.677e-05,12.0
buy,8.752e-05,12.0
buy,8.184e-05,13.0
buy,8.584e-05,13.0
buy,8.81e-05,15.0
buy,6.316e-05,16.0
buy,9.222e-05,16.95487902
buy,5.286e-05,20.0
buy,6.033e-05,20.0
buy,6.339e-05,20.0
buy,9.051e-05,21.55954953
buy,8.875e-05,22.04614495
buy,8.535e-05,23.35213533
buy,4.22e-05,23.87369668
buy,8.109e-05,24.0
buy,4.01e-05,25.0
buy,4.51e-05,25.0
buy,5.01e-05,25.0
buy,5.51e-05,25.0
buy,6.01e-05,25.0
buy,6.51e-05,25.0
buy,7.51e-05,25.0
buy,8.01e-05,25.0
buy,8.105e-05,25.0
buy,8.51e-05,25.0
buy,9.227e-05,28.33943231
buy,5.02e-05,30.0
buy,5.52e-05,30.0
buy,6.961e-05,30.0
buy,7.85e-05,30.0
buy,3.01e-05,34.0
buy,9.223e-05,39.3910304
buy,8.15e-05,40.0
buy,7.18e-05,40.22048052
buy,1.74e-05,43.0
buy,9.097e-05,47.19753765
buy,2.611e-05,50.0
buy,5.472e-05,50.0
buy,5.511e-05,50.0
buy,5.75e-05,50.0
buy,7.25e-05,50.0
buy,3.113e-05,51.72502409
buy,3.251e-05,51.77453091
buy,3.161e-05,52.62575134
buy,2.932e-05,54.67803547
buy,5.241e-05,56.07880176
buy,6.152e-05,59.32005852
buy,6.506e-05,59.33399939
buy,6.391e-05,60.0
buy,5.953e-05,60.22560054
buy,7.373e-05,60.82301234
buy,5.458e-05,63.58006596
buy,5.561e-05,65.0
buy,9.242e-05,65.50677425
buy,3.352e-05,65.84158711
buy,2.03e-05,75.0
buy,8.703e-05,75.48956287
buy,7.267e-05,78.60772195
buy,8.99e-05,81.0
buy,3.463e-05,84.21657522
buy,9.241e-05,86.20700118
buy,3.391e-05,90.0
buy,6.866e-05,95.75007282
buy,9.24e-05,97.51216592
buy,4.178e-05,100.0
buy,4.806e-05,100.0
buy,5.113e-05,100.0
buy,5.25e-05,100.0
buy,8.391e-05,100.0
buy,8.502e-05,100.0
buy,8.597e-05,100.0
buy,8.683e-05,100.0
buy,8.771e-05,100.0
buy,8.805e-05,100.0
buy,8.949e-05,100.0
buy,9.131e-05,100.0
buy,6.106e-05,111.14054823
buy,8.654e-05,115.262398
buy,8.375e-05,119.104478
buy,1.75e-05,120.0
buy,4.167e-05,124.60012219
buy,8.199e-05,150.0
buy,8.735e-05,156.6735
buy,5.342e-05,159.5401976
buy,8.25e-05,160.0
buy,8.28e-05,197.0
buy,4.25e-05,200.0
buy,4.7e-05,200.0
buy,7.476e-05,200.0
buy,8.076e-05,200.0
buy,8.692e-05,200.0
buy,8.726e-05,200.0
buy,8.892e-05,200.0
buy,6.325e-05,216.0
buy,8.79e-05,219.0
buy,5.4e-05,230.0
buy,6.2e-05,250.0
buy,6.406e-05,250.0
buy,6.926e-05,250.0
buy,7.93e-05,252.0
buy,2.4e-05,300.0
buy,3.25e-05,300.0
buy,4.3e-05,300.0
buy,5.067e-05,300.0
buy,5.501e-05,300.0
buy,5.946e-05,300.0
buy,6.077e-05,300.0
buy,6.61e-05,303.0
buy,3.7e-05,323.0
buy,1.57e-05,339.0
buy,4.356e-05,350.0
buy,4.706e-05,350.0
buy,5.5e-05,363.0
buy,4.026e-05,400.0
buy,7.48e-05,400.0
buy,8.46e-05,400.0
buy,8.48e-05,400.0
buy,8.4e-05,400.0
buy,8.52e-05,400.0
buy,8.54e-05,400.0
buy,8.56e-05,400.0
buy,8.62e-05,400.0
buy,8.64e-05,400.0
buy,8.66e-05,400.0
buy,8.68e-05,400.0
buy,8.699e-05,400.0
buy,8.72e-05,400.0
buy,8.76e-05,400.0
buy,8.78e-05,400.0
buy,8.82e-05,400.0
buy,8.88e-05,400.0
buy,8.92e-05,400.0
buy,8.94e-05,400.0
buy,8.96e-05,400.0
buy,8.98e-05,400.0
buy,9.02e-05,400.0
buy,7.227e-05,420.0
buy,2.245e-05,453.5464
buy,9.01e-05,461.0
buy,2.45e-05,500.0
