side,price,quantity
buy,0.68989,8.0
buy,0.64401,8.9
buy,0.55586,9.0
buy,0.59987,9.0
buy,0.62401,9.69
buy,0.6601,9.8
buy,0.50564,10.0
buy,0.55143,10.0
buy,0.55749,10.0
buy,0.55753,10.0
buy,0.6155,10.0
buy,0.62882,10.0
buy,0.62888,10.0
buy,0.63225,10.0
buy,0.63247,10.0
buy,0.63325,10.0
buy,0.63422,10.0
buy,0.63525,10.0
buy,0.63825,10.0
buy,0.66831,10.0
buy,0.67219,10.0
buy,0.70356,10.0
buy,0.71465,10.0
buy,0.7231,10.0
buy,0.69901,10.4
buy,0.6955,10.52
buy,0.45988,11.0
buy,0.47543,11.0
buy,0.6098,11.3265837
buy,0.72296,11.50387421
buy,0.72307,11.50589257
buy,0.72232,11.51472507
buy,0.70901,12.0
buy,0.69123,12.0493699
buy,0.48719,14.08074878
buy,0.69174,14.42015786
buy,0.68419,14.57928353
buy,0.67504,14.77690211
buy,0.40011,15.0
buy,0.4421,15.0
buy,0.6123,15.0
buy,0.316,16.0
buy,0.628,16.0
buy,0.70261,16.0
buy,0.60131,16.58878116
buy,0.6096,17.01284861
buy,0.51158,19.49841667
buy,0.30011,20.0
buy,0.408,20.0
buy,0.51222,20.0
buy,0.55419,20.0
buy,0.59501,20.0
buy,0.62846,20.0
buy,0.6375,20.0
buy,0.63842,20.0
buy,0.61586,21.0
buy,0.65167,24.88816559
buy,0.2011,25.0
buy,0.25011,25.0
buy,0.25087,25.0
buy,0.2511,25.0
buy,0.4011,25.0
buy,0.53749,25.0
buy,0.557,25.0
buy,0.6497,25.0
buy,0.222,27.0
buy,0.729,27.06522
buy,0.70095,28.06291462
buy,0.66711,29.9051131
buy,0.3511,30.0
buy,0.38002,30.0
buy,0.50263,30.0
buy,0.5143,30.0
buy,0.5511,30.0
buy,0.15544,32.21461657
buy,0.34511,33.0
buy,0.36123,33.0
buy,0.38233,33.0
buy,0.30039,33.20683112
buy,0.60038,33.228955
buy,0.16011,35.0
buy,0.67455,36.97
buy,0.165,40.0
buy,0.433,40.0
buy,0.72369,40.0
buy,0.49453,40.3413342
buy,0.12225,41.7290848
buy,0.65756,42.59
buy,0.67069,43.61162
buy,0.56478,44.15294
buy,0.65325,44.77612
buy,0.69053,46.13869
buy,0.1769,47.0
buy,0.62074,47.12091
buy,0.48276,47.8956003
buy,0.42811,49.0
buy,0.5935,49.58678
buy,0.1511,50.0
buy,0.2198,50.0
buy,0.45609,50.0
buy,0.4987,50.0
buy,0.5024,50.0
buy,0.5056,50.0
buy,0.541,50.0
buy,0.56032,50.0
buy,0.598,50.0
buy,0.6165,50.0
buy,0.6175,50.0
buy,0.63062,50.0
buy,0.6357,50.0
buy,0.65102,50.0
buy,0.65535,50.0
buy,0.66527,50.0
buy,0.66799,50.0
buy,0.66999,50.0
buy,0.68535,50.0
buy,0.6875,50.0
buy,0.71102,50.0
buy,0.72025,50.0
buy,0.72107,50.0
buy,0.72233,50.0
buy,0.28443,53.0
buy,0.4057,54.0
buy,0.61551,54.23
buy,0.72337,54.32052
buy,0.4534,55.0
buy,0.7123,55.0
buy,0.52483,56.07581
buy,0.549,56.519
buy,0.4733,57.0
buy,0.6583,57.1448
buy,0.5089,57.83021
buy,0.20011,60.0
buy,0.72301,60.0
buy,0.47578,61.85567
buy,0.40099,63.0
buy,0.46414,63.40752
buy,0.7221,69.0
buy,0.22063,70.0
buy,0.62506,70.0
buy,0.71653,70.4856
buy,0.6961,71.64918834
buy,0.421,72.0
buy,0.55679,72.0
buy,0.68016,74.0
buy,0.70232,74.0
buy,0.65456,75.0
buy,0.67351,75.0
buy,0.71167,75.0
buy,0.28,76.0
buy,0.63011,79.0
buy,0.245,80.0
buy,0.5032,80.0
buy,0.629,80.0
buy,0.30553,81.6204628
buy,0.609,82.0
buy,0.6101,83.0
buy,0.7271,83.73636636
buy,0.7127,85.43366218
buy,0.56898,86.2069
buy,0.5811,87.0
buy,0.69859,87.12952067
buy,0.72589,88.5
buy,0.354,90.0
buy,0.54446,90.09009
buy,0.53035,92.4864
buy,0.606,99.0
buy,0.08856,100.0
buy,0.19398,100.0
buy,0.36927,100.0
buy,0.3721,100.0
buy,0.40137,100.0
buy,0.4228,100.0
buy,0.42367,100.0
buy,0.44189,100.0
buy,0.445,100.0
buy,0.45107,100.0
buy,0.50077,100.0
buy,0.5015,100.0
buy,0.50193,100.0
buy,0.5026,100.0
buy,0.51058,100.0
buy,0.5301,100.0
buy,0.5305,100.0
buy,0.53799,100.0
buy,0.545,100.0
buy,0.54799,100.0
buy,0.5701,100.0
buy,0.57243,100.0
buy,0.5768,100.0
buy,0.58837,100.0
buy,0.59799,100.0
buy,0.60007,100.0
buy,0.61001,100.0
buy,0.61501,100.0
buy,0.62501,100.0
buy,0.63501,100.0
buy,0.642,100.0
buy,0.64501,100.0
buy,0.6521,100.0
buy,0.65501,100.0
buy,0.66501,100.0
buy,0.6678,100.0
buy,0.6712,100.0
buy,0.6732,100.0
buy,0.67501,100.0
buy,0.678,100.0
buy,0.67994,100.0
buy,0.6842,100.0
buy,0.71238,100.0
buy,0.4208,100.01074
buy,0.486,102.5
buy,0.7023,104.780023
buy,0.6511,109.0
buy,0.6299,110.0
buy,0.68204,111.5
buy,0.55498,114.382632
buy,0.35075,115.0
buy,0.6159,117.0
buy,0.60106,118.38457961
buy,0.59959,121.09379
buy,0.6675,125.0
buy,0.102,128.94069944
buy,0.32143,130.0
buy,0.52418,132.0
buy,0.1499,133.82469843
buy,0.72524,137.54067619
buy,0.72516,137.90060125
buy,0.631,139.12
buy,0.308,140.0
buy,0.52812,140.0
buy,0.7195,140.0
buy,0.56451,141.36153478
buy,0.69185,144.0
buy,0.712,149.0
buy,0.06914,150.0
buy,0.30167,150.0
buy,0.45665,150.0
buy,0.50094,150.0
buy,0.50257,150.0
buy,0.504,150.0
buy,0.5268,150.0
buy,0.6526,150.0
buy,0.6606,150.0
buy,0.6666,150.0
buy,0.70521,150.0
buy,0.66129,150.841537
buy,0.72707,151.913
buy,0.62131,152.45634712
buy,0.48123,155.47657045
buy,0.25425,158.0
buy,0.61167,160.0
buy,0.6122,162.93693241
buy,0.36916,163.0
buy,0.60576,164.98232242
buy,0.60087,166.00928653
buy,0.5614,177.0
buy,0.6751,177.32183
buy,0.18463,180.0
buy,0.62207,180.70242
buy,0.548,182.0
buy,0.6205,182.2
buy,0.6789,189.0
buy,0.58104,190.0
buy,0.30466,197.0
