side,price,quantity
buy,9.044e-05,5.54546993
buy,9.184e-05,8.73205903
buy,8.995e-05,10.0
buy,8.99e-05,10.0
buy,9.165e-05,10.83839773
buy,9.178e-05,13.64357226
buy,9.254e-05,15.07025785
buy,9.028e-05,16.24528412
buy,9.113e-05,16.3313559
buy,9.17e-05,16.35768811
buy,9.145e-05,20.67939857
buy,9.055e-05,20.87956929
buy,9.108e-05,21.95649844
buy,9.203e-05,22.09349234
buy,9.164e-05,22.75690468
buy,9.13e-05,34.9917988
buy,9.201e-05,36.51320508
buy,9.054e-05,39.28449209
buy,9.03e-05,44.17566279
buy,9.249e-05,49.08198265
buy,9.002e-05,52.1511217
buy,9.12e-05,52.49324242
buy,9.038e-05,61.97903394
buy,9.048e-05,62.15431869
buy,8.979e-05,62.69230287
buy,9.042e-05,66.12800053
buy,9.064e-05,79.57416078
buy,9.102e-05,80.0
buy,8.984e-05,83.4851959
buy,9.094e-05,87.48618335
buy,9.213e-05,94.42870633
buy,9.107e-05,97.21030169
buy,9.105e-05,100.0
buy,9.128e-05,100.0
buy,9.012e-05,110.96316023
buy,9.124e-05,127.34396628
buy,9.181e-05,139.72256683
buy,8.982e-05,140.0
buy,9.014e-05,140.0
buy,9.047e-05,140.0
buy,9.01e-05,144.28412875
buy,9.161e-05,157.65613307
buy,9.033e-05,162.96995165
buy,8.999e-05,199.90558175
buy,9.18e-05,201.02124183
buy,9.222e-05,222.42662248
buy,9.069e-05,250.0
buy,9.103e-05,257.23851725
buy,9.216e-05,257.91695
buy,9.09e-05,260.29006287
buy,9.045e-05,267.78778026
buy,9.101e-05,274.21334903
buy,9.017e-05,293.76435843
buy,9.018e-05,300.0
buy,9.027e-05,318.0
buy,9.146e-05,325.70490843
buy,9.115e-05,327.94856199
buy,9.25e-05,400.0
buy,9.126e-05,407.86493394
buy,8.996e-05,460.0
buy,9.162e-05,484.33228385
buy,9.005e-05,500.0
buy,9.193e-05,500.0
buy,9.16e-05,545.54118532
buy,9.093e-05,585.78842
buy,9.08e-05,587.7550515
buy,9.096e-05,661.372842
buy,9.112e-05,1000.0
buy,9.031e-05,1002.52518891
buy,9.06e-05,1018.39944812
buy,9.104e-05,1095.67223199
buy,9.024e-05,1105.3856383
buy,9.189e-05,1173.59473555
buy,9.157e-05,1257.54102179
buy,9.167e-05,1517.6792636
buy,9.2e-05,1719.4307827
buy,9.154e-05,1821.6
buy,9.02e-05,2460.26179267
buy,9.106e-05,3009.29296618
buy,9.015e-05,3430.1344531
buy,9.05e-05,3462.80261407
buy,9.009e-05,3745.53875874
buy,9.15e-05,3943.71865984
buy,8.98e-05,4852.31361515
buy,9.19e-05,5225.09830555
buy,9.176e-05,5391.41686435
buy,8.998e-05,6646.0
buy,9.14e-05,7474.49898811
buy,8.991e-05,7770.18898178
buy,9.191e-05,10929.15802742
buy,9.185e-05,11136.42612003
buy,9.083e-05,11854.35744622
buy,9.258e-05,15030.86032242
buy,9.156e-05,20750.07445167
buy,9.153e-05,34647.0
buy,8.989e-05,35756.68962065
buy,9.257e-05,47838.21588122
buy,9.001e-05,65171.47675141
buy,9e-05,106076.98781442
buy,9.1e-05,108036.80092316
sell,9.262e-05,1e-08
sell,9.379e-05,10.66238049
sell,9.311e-05,10.83541012
sell,9.453e-05,10.94025423
sell,9.493e-05,11.0
sell,9.359e-05,11.47305405
sell,9.381e-05,12.93521612
sell,9.492e-05,15.0
sell,9.364e-05,20.0
sell,9.332e-05,20.46791553
sell,9.435e-05,21.0
sell,9.306e-05,21.49009899
sell,9.451e-05,26.89095128
sell,9.298e-05,30.71418233
sell,9.273e-05,33.47350187
sell,9.308e-05,36.32243916
sell,9.34e-05,37.52655513
sell,9.491e-05,39.56611264
sell,9.407e-05,40.17765837
sell,9.477e-05,44.32495138
sell,9.496e-05,50.0
sell,9.507e-05,51.0
sell,9.384e-05,51.55487908
sell,9.427e-05,54.13262303
sell,9.472e-05,56.83925418
sell,9.284e-05,59.33751657
sell,9.424e-05,60.55454151
sell,9.33e-05,63.39740507
sell,9.373e-05,64.67474733
sell,9.31e-05,65.3839957
sell,9.307e-05,72.51222173
sell,9.354e-05,90.29345372
sell,9.382e-05,97.8890007
sell,9.356e-05,100.0
sell,9.483e-05,100.0
sell,9.431e-05,103.92852423
sell,9.502e-05,105.5041044
sell,9.281e-05,107.14652429
sell,9.32e-05,119.95081148
sell,9.464e-05,120.0
sell,9.372e-05,123.55323602
sell,9.316e-05,140.0
sell,9.361e-05,140.0
sell,9.406e-05,140.0
sell,9.46e-05,140.0
sell,9.48e-05,166.99084456
sell,9.362e-05,167.40067984
sell,9.454e-05,179.93349538
sell,9.289e-05,197.90271792
sell,9.426e-05,198.694014
sell,9.302e-05,216.57080701
sell,9.49e-05,236.95102913
sell,9.329e-05,238.08789089
sell,9.313e-05,251.9424
sell,9.383e-05,272.097792
sell,9.444e-05,297.45309769
sell,9.44e-05,314.84368098
sell,9.375e-05,317.55733703
sell,9.264e-05,396.51824613
sell,9.449e-05,400.0
sell,9.283e-05,418.70237347
sell,9.469e-05,449.41739312
sell,9.473e-05,450.0
sell,9.457e-05,493.5072805
sell,9.282e-05,500.0
sell,9.433e-05,600.0
sell,9.386e-05,694.773251
sell,9.349e-05,808.8235677
sell,9.411e-05,1000.0
sell,9.505e-05,1000.0
sell,9.291e-05,1005.30082876
sell,9.36e-05,1067.06171454
sell,9.401e-05,1147.35822836
sell,9.499e-05,1203.08825626
sell,9.467e-05,1260.69562355
sell,9.369e-05,1291.19622066
sell,9.486e-05,1707.15490236
sell,9.43e-05,1737.61553416
sell,9.498e-05,1819.91150057
sell,9.39e-05,2503.82147911
sell,9.418e-05,2676.0
sell,9.378e-05,3698.18524633
sell,9.38e-05,3744.22236681
sell,9.45e-05,3784.39292911
sell,9.295e-05,3927.62298096
sell,9.259e-05,4568.80868769
sell,9.341e-05,4728.72618462
sell,9.41e-05,5000.0
sell,9.495e-05,5769.70296745
sell,9.351e-05,6020.5526
sell,9.331e-05,6229.98499082
sell,9.399e-05,6234.55859468
sell,9.398e-05,7030.13271344
sell,9.3e-05,8255.15514463
sell,9.301e-05,9342.87082171
sell,9.299e-05,10000.0
sell,9.4e-05,11352.76597966
sell,9.5e-05,35604.64466533
sell,9.35e-05,45785.76504649
sell,9.345e-05,70268.83959668
