side,price,quantity
buy,2.34e-05,40.0
buy,2.4e-05,40.0
buy,5.5e-05,40.0
buy,5.8e-05,40.0
buy,8.057e-05,40.0
buy,8.15e-05,40.0
buy,8.37e-05,40.0
buy,8.3e-05,40.0
buy,8.502e-05,40.0
buy,8.99e-06,40.0
buy,9.027e-05,40.0
buy,9.25e-05,40.0
buy,9.084e-05,40.181087
buy,4.21e-05,40.35089
buy,2.03e-05,41.33532
buy,2e-05,42.5515
buy,8e-06,42.789003
buy,2.65e-05,50.0
buy,3.22e-05,50.0
buy,5.7e-05,50.0
buy,1.4e-05,50.997739
buy,4.611e-05,52.0
buy,6.06e-06,56.820127
buy,8.979e-05,60.0
buy,2.9e-05,65.0
buy,7.533e-05,66.374618
buy,3.05e-05,88.19541
buy,9.9e-06,98.0
buy,5.01e-05,99.213294
buy,5.845e-05,100.0
buy,8.101e-05,100.0
buy,8.301e-05,100.0
buy,8.501e-05,100.0
buy,8.701e-05,100.0
buy,9.01e-05,100.0
buy,2.1e-05,103.245051
buy,9.203e-05,104.505052
buy,1.33e-05,110.0
buy,7.9e-05,110.0
buy,9.26e-05,110.651404
buy,6.004e-05,121.0
buy,8.2e-05,125.0
buy,7.2e-05,140.0
buy,3.45e-06,146.898501
buy,9.001e-05,151.0
buy,8.001e-05,155.0
buy,8.6e-05,157.0
buy,8.78e-05,165.5
buy,3e-05,200.0
buy,4.234e-05,200.0
buy,5.1e-05,215.816167
buy,2.22e-05,225.877585
buy,9.02e-05,226.219513
buy,4.939e-05,255.0
buy,8.22e-05,262.731874
buy,8.8e-05,305.46177
buy,8.01e-05,370.0
buy,8.104e-05,378.684554
buy,6.635e-05,386.261899
buy,8.711e-05,400.0
buy,9.211e-05,404.11
buy,9.15e-05,431.746995
buy,9.1e-05,496.729341
buy,2.184e-05,500.0
buy,8.777e-05,500.0
buy,9.009e-05,540.227329
buy,1.562e-05,544.5
buy,6.666e-05,555.0
buy,5.78e-05,598.859559
buy,5.77e-05,629.334337
buy,8.017e-05,632.0
buy,1.83e-05,654.256854
