side,price,quantity
buy,0.094,10.0
buy,0.159,10.0
buy,0.1927,10.0
buy,0.411,10.0
buy,0.274,10.011222
buy,0.38,13.387369
buy,0.201,17.0
buy,0.2052,20.0
buy,0.2625,22.0
buy,0.2338,26.0
buy,0.09,40.0
buy,0.27,40.0
buy,0.482,40.0
buy,0.496,40.0
buy,0.51,40.0
buy,0.59,40.0
buy,0.595,40.0
buy,0.6568,40.0
buy,0.7092,40.0
buy,0.728,40.0
buy,0.7201,46.0
buy,0.4051,49.0
buy,0.7352,49.12
buy,0.4445,50.0
buy,0.46,50.0
buy,0.4618,50.0
buy,0.5312,50.0
buy,0.6907,50.0
buy,0.6918,50.0
buy,0.5718,55.0
buy,0.725,55.0
buy,0.517,55.048356
buy,0.5378,67.4726
buy,0.5274,68.5349
buy,0.3745,70.0
buy,0.1002,70.059881
buy,0.5207,70.6176
buy,0.5345,71.9198
buy,0.525,72.7018
buy,0.5349,74.0674
buy,0.585,75.0
buy,0.5373,76.0231
buy,0.5331,76.7539
buy,0.594,80.0
buy,0.661,80.0
buy,0.5302,81.9557
buy,0.5183,87.1826
buy,0.721,91.0
buy,0.5392,95.2978
buy,0.6498,96.140637
buy,0.155,100.0
buy,0.5169,126.7151
buy,0.5517,126.880551
buy,0.7065,131.8
buy,0.4729,142.42
buy,0.6701,145.0
buy,0.5602,150.2682
buy,0.53,154.54717
buy,0.5694,155.7629
buy,0.5637,159.7318
buy,0.5581,160.1219
buy,0.4438,162.21
buy,0.4337,165.98
buy,0.4236,169.93
buy,0.4136,174.07
buy,0.5445,175.2142
buy,0.4035,178.43
buy,0.6958,179.03297
buy,0.3934,183.0
buy,0.5627,184.7813
buy,0.3833,187.82
buy,0.3732,192.89
buy,0.5878,195.3486
buy,0.3631,198.25
buy,0.5648,198.7513
buy,0.353,203.92
buy,0.5566,204.2281
buy,0.3429,209.91
buy,0.5622,210.8351
buy,0.5576,211.8528
buy,0.5001,214.737053
buy,0.578,216.2271
buy,0.3329,216.27
buy,0.3228,223.03
buy,0.3127,230.23
buy,0.5709,230.2616
buy,0.5739,230.4141
buy,0.582,235.1107
buy,0.5785,235.37
buy,0.3026,237.9
buy,0.2925,246.11
buy,0.2824,254.89
buy,0.2723,264.34
buy,0.5926,267.2863
buy,0.66,272.0
buy,0.2623,274.5
buy,0.5898,276.2667
buy,0.0051,283.737254
buy,0.5164,284.84
buy,0.2522,285.48
buy,0.4,290.0
buy,0.5856,291.9782
buy,0.2421,297.38
buy,0.581,300.0
buy,0.631,300.0
buy,0.635,300.0
buy,0.5597,302.5201
buy,0.385,307.5
buy,0.73,316.896
buy,0.2219,324.41
buy,0.427,328.0
buy,0.2118,339.86
buy,0.49,343.551021
buy,0.2017,356.85
buy,0.5904,358.0593
buy,0.58,362.0
buy,0.5536,367.4738
buy,0.1916,375.63
buy,0.54,380.0
buy,0.5678,384.1142
buy,0.1816,396.5
buy,0.1715,419.83
buy,0.1614,446.07
buy,0.1513,475.8
buy,0.131,500.0
buy,0.5199,500.0
buy,0.6169,500.0
buy,0.7274,500.0
buy,0.5808,506.8604
buy,0.1412,509.79
buy,0.696,511.536075
buy,0.35,530.0
buy,0.1311,549.0
buy,0.41,560.0
buy,0.5914,589.1505
buy,0.121,594.75
buy,0.735,604.082512
buy,0.691,625.0
buy,0.111,648.82
buy,0.56,650.0
buy,0.5683,700.0961
buy,0.1009,713.71
buy,0.0908,793.01
buy,0.7346,871.0
buy,0.7,914.0
buy,0.553,984.1788
buy,0.5882,1017.093
buy,0.61,1040.0
buy,0.63,1040.0
buy,0.705,1114.0
buy,0.62,1314.0
buy,0.734,1350.0
buy,0.64,1643.0
buy,0.45,1870.933334
buy,0.5656,2000.0
buy,0.6602,2000.0
buy,0.69,2008.0
buy,0.68,2036.426471
buy,0.2,2090.0
buy,0.67,2520.0
buy,0.05,2800.0
buy,0.7351,3189.237248
buy,0.37,3510.45946
buy,0.5,3597.93
buy,0.1181,3600.0
buy,0.55,3856.0
buy,0.006,4000.0
buy,0.7101,4222.0
buy,0.52,4458.0
buy,0.6559,5000.0
buy,0.3,5180.0
buy,0.25,5238.24
buy,0.6,5328.5
buy,0.7198,5444.0
buy,0.65,5963.615384
buy,0.72,6430.513889
buy,0.71,6928.6104
buy,0.212,8750.0
buy,0.1,9092.57833
buy,0.5802,9427.1332
buy,0.21,10500.0
buy,0.232,12310.31
buy,0.254,20000.0
buy,0.275,20000.0
buy,0.311,20000.0
sell,0.7468,9.292985
sell,1.31,10.0
sell,1.539,10.0
sell,1.639,10.0
sell,1.91,10.0
sell,13.0,10.0
sell,15.34,10.0
sell,2.214,10.0
sell,2.347,10.0
sell,2.79,10.0
sell,23.12,10.0
sell,3.75,10.0
sell,47.12,10.0
sell,2.736,10.02
sell,3.29,11.194149
sell,3.6666,11.545987
sell,25.0,13.8
sell,1.86,14.0
sell,4.58,14.0
sell,2.49,15.0
sell,3.04,15.0
sell,42.0,15.0
sell,0.749,17.449934
sell,1.34,20.0
sell,1.7698,20.0
sell,5.12,20.0
sell,2.36,20.235616
sell,3.45,23.0
sell,2.6999,27.918899
sell,1.2061,30.0
sell,1.46,30.0
sell,1.804,30.0
sell,2.498,30.0
sell,3.54,33.8489
sell,1.4312,35.242598
sell,0.7857,35.878892
sell,9.999,39.94
sell,0.918,40.0
sell,0.945,40.0
sell,0.9489,40.0
sell,0.9794,40.0
sell,0.9947,40.0
sell,0.9965,40.0
sell,1.0596,40.0
sell,1.099,40.0
sell,1.159,40.0
sell,1.2288,40.0
sell,1.3515,40.0
sell,1.4878,40.0
sell,12.5,40.0
sell,2.247,40.0
sell,3.28,40.0
sell,35.0,40.0
sell,2.09,40.30882
sell,0.8759,44.0
sell,1.38,44.604218
sell,1.456,45.0
sell,0.7887,46.148993
sell,2.42,47.504751
sell,2.99,49.803997
sell,1.82,49.999
sell,0.8488,50.0
sell,0.861,50.0
sell,1.0164,50.0
sell,1.069,50.0
sell,1.0967,50.0
sell,1.1164,50.0
sell,1.1264,50.0
sell,1.1364,50.0
sell,1.149,50.0
sell,1.19,50.0
sell,1.344,50.0
sell,1.388,50.0
sell,1.819,50.0
sell,1.8569,50.0
sell,2.495,50.0
sell,2.4999,50.0
sell,2.63,50.0
sell,2.7723,50.0
sell,2.8623,50.0
sell,1.1464,50.212758
