side,price,quantity
buy,0.09,10.0
buy,0.176,10.0
buy,0.203,10.0
buy,0.257,10.0
buy,0.2703,10.0
buy,0.2839,10.0
buy,0.299,10.0
buy,0.498,10.0
buy,0.374,10.001538
buy,0.0279,10.008961
buy,0.4373,10.37863
buy,0.484,14.0
buy,0.2768,19.9
buy,0.131,20.0
buy,0.2312,20.0
buy,0.511,20.0
buy,0.435,27.018426
buy,0.5504,36.300737
buy,0.15,40.0
buy,0.165,40.0
buy,0.23,40.0
buy,0.242,40.0
buy,0.302,40.0
buy,0.4567,40.0
buy,0.4997,40.0
buy,0.527,40.0
buy,0.5955,40.0
buy,0.721,40.0
buy,0.733,40.0
buy,0.824,40.0
buy,0.845,40.0
buy,0.8532,40.0
buy,0.862,40.0
buy,0.872,40.0
buy,0.8855,40.0
buy,0.886,40.0
buy,0.7999,40.367546
buy,0.173,40.578035
buy,0.39,40.74359
buy,0.9047,43.447523
buy,0.9005,46.0
buy,0.705,47.0
buy,0.5152,48.38
buy,0.8835,49.42841
buy,0.21,50.0
buy,0.5001,50.0
buy,0.6274,50.0
buy,0.8005,50.0
buy,0.8215,50.0
buy,0.8502,50.0
buy,0.8525,50.0
buy,0.8565,50.0
buy,0.8625,50.0
buy,0.351,57.0
buy,0.863,57.939273
buy,0.8341,59.947456
buy,0.8205,64.0
buy,0.788,66.0
buy,0.6019,66.9156
buy,0.6197,66.9358
buy,0.621,67.047
buy,0.751,67.7
buy,0.6761,68.4605
buy,0.7289,68.600162
buy,0.5819,69.8731
buy,0.575,71.0804
buy,0.6981,71.627978
buy,0.6678,71.6776
buy,0.6198,73.4038
buy,0.6297,73.7509
buy,0.539,75.695555
buy,0.6697,79.6157
buy,0.12,80.0
buy,0.8859,80.0
buy,0.5957,82.9259
buy,0.24,85.0
buy,0.234,85.4
buy,0.6031,93.0
buy,0.6763,94.912
buy,0.6281,95.1604
buy,0.6703,96.5654
buy,0.13,100.0
buy,0.41,100.0
buy,0.417,100.0
buy,0.421,100.0
buy,0.439,100.0
buy,0.49,100.0
buy,0.5015,100.0
buy,0.551,100.0
buy,0.5515,100.0
buy,0.6001,100.0
buy,0.6025,100.0
buy,0.6225,100.0
buy,0.639,100.0
buy,0.7015,100.0
buy,0.713,100.0
buy,0.745,100.0
buy,0.7685,100.0
buy,0.7745,100.0
buy,0.805,100.0
buy,0.807,100.0
buy,0.8144,100.0
buy,0.8335,100.0
buy,0.8498,100.0
buy,0.8652,100.0
buy,0.8895,100.0
buy,0.8925,100.0
buy,0.9019,100.0
buy,0.916,100.0
buy,0.5947,103.2361
buy,0.3004,104.332224
buy,0.9015,105.0
buy,0.5661,105.740992
buy,0.6302,107.4351
buy,0.6482,107.451404
buy,0.01,107.77
buy,0.5161,110.0
buy,0.8901,110.0
buy,0.5798,110.8146
buy,0.735,111.8
buy,0.8854,113.0
buy,0.8711,114.244643
buy,0.761,115.0
buy,0.8654,115.0
buy,0.6117,116.504
buy,0.8922,120.0
buy,0.9041,120.0
buy,0.156,128.2
buy,0.6355,129.472857
buy,0.6753,147.7789
buy,0.07,150.0
buy,0.665,150.8512
buy,0.6767,151.1401
buy,0.6731,156.2328
buy,0.861,158.0
buy,0.7058,160.2219
buy,0.6695,162.1827
buy,0.9055,163.5
buy,0.674,165.5744
buy,0.6505,165.8518
buy,0.7859,167.0
buy,0.6696,169.8043
buy,0.6865,175.191
buy,0.902,179.0
buy,0.6705,182.6647
buy,0.727,190.0
buy,0.6644,190.2597
buy,0.6745,190.6586
buy,0.104,192.2
buy,0.842,192.2
buy,0.7078,192.8985
buy,0.709,196.8213
buy,0.6786,197.3929
buy,0.033,200.0
buy,0.27,200.0
