side,price,quantity
buy,906.0,11.0
buy,917.0,15.0
buy,934.0,15.0
buy,913.0,16.0
buy,923.0,16.0
buy,939.0,18.0
buy,941.0,26.0
buy,944.0,27.0
buy,953.0,34.0
buy,937.0,71.3
buy,942.0,74.0
buy,936.0,88.0
buy,935.0,122.0
buy,916.0,125.0
buy,947.0,125.0
buy,945.0,144.0
buy,943.0,155.4538
buy,963.0,203.0
buy,962.0,215.0
buy,929.0,225.0223
buy,922.0,235.0
buy,959.0,255.0
buy,976.0,532.15
buy,909.0,534.5852
buy,974.0,615.9651
buy,983.0,638.0004
buy,966.0,693.2784
buy,938.0,1033.0031
buy,992.0,1382.15
buy,972.0,1555.15
buy,1034.0,1715.3393
buy,989.0,1780.15
buy,949.0,2016.0
buy,928.0,2066.0
buy,926.0,2207.7624
buy,1033.0,2379.8624
buy,1036.0,2483.15
buy,991.0,2610.15
buy,1039.0,2639.6466
buy,914.0,2717.4201
buy,1044.0,2728.4823
buy,977.0,2833.0069
buy,965.0,2964.2932
buy,911.0,2992.4245
buy,967.0,3106.883
buy,995.0,3533.2171
buy,948.0,4004.0795
buy,1042.0,4043.15
buy,927.0,4046.7087
buy,997.0,4082.3574
buy,1029.0,4146.6106
buy,924.0,4187.0837
buy,993.0,4240.4288
buy,951.0,4304.0725
buy,933.0,4355.8252
buy,981.0,4538.0674
buy,996.0,4691.7885
buy,986.0,5276.9136
buy,1032.0,5437.2516
buy,979.0,5490.15
buy,1019.0,5503.15
buy,956.0,5509.6945
buy,1056.0,5954.3581
buy,946.0,6025.0
buy,952.0,6116.0
buy,1037.0,6792.15
buy,971.0,6901.15
buy,958.0,7016.7192
buy,955.0,7224.0
buy,1028.0,7498.8552
buy,1017.0,7581.1145
buy,1038.0,7663.982
buy,1016.0,7838.6362
buy,961.0,8024.0
buy,1046.0,8110.865
buy,1047.0,8147.1203
buy,998.0,8158.206
buy,978.0,8641.4249
buy,1049.0,8709.6438
buy,1013.0,9229.6367
buy,1014.0,9504.3235
buy,1035.0,10149.0502
buy,957.0,10386.5893
buy,919.0,10733.4874
buy,925.0,11004.0
buy,921.0,11425.3246
buy,968.0,11606.0834
buy,994.0,11778.1328
buy,1003.0,12262.6913
buy,987.0,12859.7089
buy,1053.0,13135.1033
buy,988.0,13510.5507
buy,970.0,13559.5116
buy,1022.0,15007.6606
buy,918.0,15103.5326
buy,1048.0,15896.4261
buy,1027.0,16026.1422
buy,1012.0,16033.6753
buy,907.0,16502.0
buy,964.0,18046.9553
buy,1054.0,18200.3862
buy,910.0,18243.3008
buy,1007.0,18824.0824
buy,1045.0,19001.8138
buy,985.0,19587.7438
buy,954.0,19915.0691
buy,984.0,20069.0239
buy,969.0,21055.0096
buy,1018.0,21531.0575
buy,1031.0,21827.1406
buy,975.0,22262.8287
buy,1024.0,22911.3443
buy,1015.0,25102.871
buy,973.0,26034.2701
buy,1004.0,27470.4649
buy,1006.0,29991.286
buy,912.0,31206.844
buy,1052.0,31351.3006
buy,1002.0,31730.9631
buy,1008.0,32189.1786
buy,1011.0,32662.9034
buy,999.0,33442.7799
buy,1041.0,34171.6896
buy,908.0,34210.383
buy,990.0,36225.0171
buy,1005.0,38133.9944
buy,930.0,39416.0803
buy,1021.0,39811.5338
buy,980.0,40746.4071
buy,920.0,42983.3193
buy,1009.0,44677.2905
buy,1001.0,45274.0628
buy,1025.0,48417.9202
buy,915.0,50713.6655
buy,1051.0,50768.5691
buy,940.0,61268.614
buy,1055.0,63356.0111
buy,1023.0,63706.8085
buy,1030.0,67801.0499
buy,1050.0,79738.9135
buy,932.0,80136.0
buy,982.0,87475.3301
buy,1020.0,96272.0247
buy,950.0,113832.3583
buy,1040.0,116042.8745
buy,931.0,117437.6389
buy,1026.0,143249.2832
buy,1043.0,146911.2745
buy,1010.0,278243.9084
buy,960.0,314566.3643
buy,1000.0,336419.9078
sell,1173.0,31.0
sell,1207.0,31.0
sell,1059.0,49.95
sell,1204.0,52.9987
sell,1206.0,88.5393
sell,1208.0,102.0
sell,1197.0,103.0
sell,1191.0,342.3169
sell,1079.0,372.15
sell,1091.0,378.5085
sell,1088.0,386.15
sell,1123.0,387.15
sell,1108.0,393.15
sell,1082.0,397.4498
sell,1113.0,401.3622
sell,1182.0,409.5067
sell,1201.0,413.6867
sell,1124.0,423.065
sell,1057.0,436.9913
sell,1192.0,473.0
sell,1202.0,491.5651
sell,1171.0,550.0
sell,1094.0,571.15
sell,1154.0,612.8831
sell,1062.0,708.832
sell,1187.0,778.064
sell,1109.0,792.931
sell,1099.0,826.14
sell,1084.0,862.5198
sell,1102.0,871.15
sell,1101.0,872.15
sell,1073.0,909.4568
sell,1176.0,947.2811
sell,1156.0,1158.2672
sell,1167.0,1250.0045
sell,1164.0,1698.8362
sell,1111.0,1723.0641
sell,1196.0,1779.345
sell,1131.0,1827.23
sell,1181.0,1851.8169
sell,1188.0,1878.06
sell,1162.0,1909.711
sell,1168.0,1921.7822
sell,1083.0,2082.25
sell,1157.0,2372.15
sell,1185.0,2477.7745
sell,1179.0,2741.0137
sell,1064.0,2766.9544
sell,1089.0,2840.9654
sell,1143.0,3000.7464
sell,1067.0,3324.1463
sell,1106.0,3371.15
sell,1104.0,3402.15
sell,1163.0,3464.2575
sell,1121.0,3559.8073
sell,1144.0,3591.15
sell,1110.0,3601.3818
sell,1195.0,3657.4027
sell,1141.0,3975.6237
sell,1092.0,4369.75
sell,1068.0,4374.15
sell,1166.0,4674.8652
sell,1070.0,4885.1474
sell,1151.0,4904.7693
sell,1085.0,4960.9736
sell,1172.0,4973.9998
sell,1177.0,4974.9085
sell,1193.0,5022.0
sell,1194.0,5049.1775
sell,1158.0,5221.8359
sell,1134.0,5354.8584
sell,1081.0,5382.15
sell,1186.0,5476.7478
sell,1153.0,5515.6264
sell,1132.0,5566.2173
sell,1175.0,5628.508
sell,1117.0,5933.0253
sell,1071.0,6046.311
sell,1060.0,6141.2856
sell,1072.0,6165.15
sell,1119.0,6184.15
sell,1178.0,6789.7843
sell,1061.0,7509.8512
sell,1125.0,7732.5608
sell,1148.0,7935.4898
sell,1086.0,8031.8199
sell,1103.0,8391.15
sell,1165.0,8487.7285
sell,1128.0,9180.2657
sell,1152.0,9215.8538
sell,1136.0,9555.2753
sell,1118.0,10021.1202
sell,1058.0,10217.1691
sell,1137.0,10515.1791
sell,1184.0,10837.9781
sell,1161.0,10923.2394
sell,1122.0,11082.1852
sell,1203.0,11533.7158
sell,1147.0,11845.1345
sell,1139.0,12040.1064
sell,1174.0,12131.7035
sell,1107.0,12192.955
sell,1065.0,12226.8766
sell,1142.0,12250.4958
sell,1146.0,12289.0302
sell,1126.0,12852.0164
sell,1066.0,12933.8902
sell,1087.0,13282.2648
sell,1133.0,13394.1337
sell,1149.0,13858.9378
sell,1075.0,14287.2915
sell,1069.0,14526.15
sell,1198.0,14773.9953
sell,1090.0,15179.9834
sell,1120.0,15248.8835
sell,1127.0,15547.4758
sell,1093.0,16561.7069
sell,1189.0,17177.4995
sell,1096.0,17362.7
sell,1063.0,18187.8566
sell,1077.0,18372.15
sell,1199.0,19666.5822
sell,1112.0,20380.3687
sell,1116.0,21638.15
sell,1129.0,21818.1724
sell,1074.0,22060.0403
sell,1170.0,25317.2676
sell,1080.0,27397.0415
sell,1190.0,27602.3535
sell,1115.0,28045.4064
sell,1145.0,29497.7271
sell,1169.0,30458.9708
sell,1078.0,34966.8431
sell,1205.0,36770.9497
sell,1097.0,37824.4957
sell,1105.0,38339.9531
sell,1095.0,41750.0249
sell,1114.0,43351.8235
sell,1159.0,45751.966
sell,1140.0,49215.3448
sell,1160.0,51575.7642
sell,1098.0,55447.9432
sell,1100.0,57679.5481
sell,1135.0,59763.178
sell,1155.0,60195.9944
sell,1138.0,68926.2256
sell,1130.0,77153.3085
sell,1180.0,119348.7385
sell,1076.0,142904.15
sell,1200.0,187719.3335
sell,1150.0,212519.675
