side,price,quantity
buy,8.94e-05,1.0
buy,8.96e-05,1.0
buy,8.98e-05,1.0
buy,8.99e-05,1.0
buy,9.04e-05,1.0
buy,9.06e-05,1.0
buy,9.07e-05,1.0
buy,9.09e-05,1.0
buy,9.11e-05,1.0
buy,9.12e-05,1.0
buy,9.155e-05,1.0
buy,9.175e-05,1.0
buy,9.185e-05,1.0
buy,9.195e-05,1.0
buy,9.19e-05,1.15745375
buy,9.252e-05,1.70431258
buy,9.206e-05,2.0
buy,9.095e-05,4.51677188
buy,9.135e-05,5.0
buy,9.03e-05,5.008
buy,9.157e-05,5.89278261
buy,9.057e-05,5.95760322
buy,8.959e-05,6.02313685
buy,8.962e-05,6.09629029
buy,8.943e-05,7.33096772
buy,9.151e-05,10.0
buy,9.123e-05,11.04619065
buy,9.145e-05,11.42219792
buy,9.23e-05,13.83
buy,9.106e-05,15.18383483
buy,9.192e-05,17.12957719
buy,9.101e-05,18.29084715
buy,9.127e-05,19.94083488
buy,9.233e-05,20.0
buy,9.241e-05,20.0
buy,9.242e-05,20.0
buy,8.945e-05,20.22951369
buy,9.077e-05,21.0
buy,9.205e-05,21.4212078
buy,9.097e-05,22.56855862
buy,9.231e-05,23.0
buy,9.234e-05,24.0
buy,9.02e-05,25.1366438
buy,9.05e-05,25.58254143
buy,9.144e-05,45.0412173
buy,9.15e-05,45.4052459
buy,9.114e-05,50.0
buy,9.256e-05,60.97095196
buy,9.224e-05,61.0556933
buy,9.096e-05,61.38320119
buy,9.064e-05,61.54002135
buy,9.033e-05,61.63937901
buy,9.001e-05,65.31560336
buy,9.219e-05,69.01887406
buy,9.018e-05,70.5211251
buy,8.97e-05,78.28588207
buy,9.133e-05,83.74783751
buy,9.131e-05,90.95389333
buy,8.974e-05,100.0
buy,9.216e-05,100.76963975
buy,9.217e-05,102.06184224
buy,9.24e-05,108.21445238
buy,9.262e-05,121.46422536
buy,9.203e-05,144.82386178
buy,9.18e-05,148.57211328
buy,9.01e-05,153.56825749
buy,9.025e-05,162.78958972
buy,9.08e-05,171.31013215
buy,9.257e-05,211.08622283
buy,9.128e-05,221.16697771
buy,9.25e-05,230.61891891
buy,9.121e-05,232.26695227
buy,9.083e-05,259.25490518
buy,9.117e-05,268.97969067
buy,9.214e-05,273.39
buy,9.261e-05,310.5409
buy,9.17e-05,310.55550708
buy,8.95e-05,356.59486033
buy,9.238e-05,376.80980732
buy,9.129e-05,451.03903781
buy,9.237e-05,560.53145975
buy,9.13e-05,585.86182912
buy,9.103e-05,711.47829287
buy,9.179e-05,891.57032356
buy,9.14e-05,917.54124726
buy,9.164e-05,997.0
buy,9.161e-05,1000.0
buy,9.143e-05,1005.31346385
buy,9.163e-05,1022.0
buy,8.998e-05,1036.67470549
buy,9.215e-05,1246.0
buy,9.2e-05,1327.28234904
buy,9.26e-05,1500.0
buy,9.162e-05,1507.73401004
buy,9e-05,1768.12078886
buy,9.165e-05,2225.21538461
buy,9.16e-05,2553.64858795
buy,9.1e-05,2708.98587911
buy,9.213e-05,20000.0
buy,9.054e-05,20001.0
sell,9.357e-05,0.11088878
sell,9.359e-05,0.11088878
sell,9.365e-05,0.11088878
sell,9.446e-05,0.11088878
sell,9.612e-05,0.11113267
sell,9.348e-05,0.80863313
sell,9.37e-05,1.0
sell,9.39e-05,1.0
sell,9.43e-05,1.0
sell,9.44e-05,1.0
sell,9.46e-05,1.0
sell,9.49e-05,1.0
sell,9.52e-05,1.0
sell,9.54e-05,1.0
sell,9.55e-05,1.0
sell,9.57e-05,1.0
sell,9.59e-05,1.0
sell,9.62e-05,1.0
sell,9.346e-05,1.71027226
sell,9.426e-05,5.04874476
sell,9.417e-05,5.1000495
sell,9.379e-05,6.81186969
sell,9.61e-05,8.2854
sell,9.336e-05,10.9071038
sell,9.34e-05,10.91832801
sell,9.452e-05,14.0956614
sell,9.56e-05,16.02376612
sell,9.415e-05,19.94980015
sell,9.33e-05,21.07852121
sell,9.354e-05,22.346501
sell,9.47e-05,23.7786237
sell,9.313e-05,25.0
sell,9.384e-05,25.0
sell,9.524e-05,25.0
sell,9.58e-05,25.73
sell,9.512e-05,29.0077013
sell,9.464e-05,30.75137363
sell,9.48e-05,31.12942113
sell,9.625e-05,33.02173544
sell,9.518e-05,41.7562055
sell,9.451e-05,43.02488878
sell,9.448e-05,48.1668694
sell,9.469e-05,50.0
sell,9.355e-05,50.094111
sell,9.32e-05,51.0
sell,9.4e-05,52.0
sell,9.486e-05,52.54679249
sell,9.563e-05,54.7992556
sell,9.41e-05,56.0282957
sell,9.438e-05,59.1971883
sell,9.405e-05,59.34630124
sell,9.372e-05,59.42188257
sell,9.538e-05,60.5303115
sell,9.604e-05,60.76030385
sell,9.571e-05,60.7854127
sell,9.471e-05,69.18018486
sell,9.327e-05,72.22279759
sell,9.317e-05,81.8
sell,9.328e-05,89.7067742
sell,9.399e-05,91.75244407
sell,9.36e-05,100.6401461
sell,9.42e-05,101.0
sell,9.477e-05,105.9082405
sell,9.345e-05,119.673817
sell,9.523e-05,121.02895278
sell,9.352e-05,128.3328055
sell,9.319e-05,158.1
sell,9.517e-05,170.0
sell,9.324e-05,200.33687501
sell,9.53e-05,201.275285
sell,9.318e-05,204.66469464
sell,9.45e-05,228.39970103
sell,9.385e-05,253.44982401
sell,9.498e-05,255.0
sell,9.504e-05,263.18054993
sell,9.485e-05,302.57238196
sell,9.479e-05,425.0
sell,9.314e-05,437.062683
sell,9.555e-05,620.420064
sell,9.534e-05,748.0074797
sell,9.38e-05,826.16421975
sell,9.514e-05,849.3965597
sell,9.3e-05,991.26312
sell,9.515e-05,1122.01121955
sell,9.35e-05,1309.7286033
sell,9.495e-05,1570.11707555
sell,9.535e-05,1671.30095518
sell,9.496e-05,1933.56364356
sell,9.476e-05,2123.49139926
sell,9.51e-05,2396.86605716
sell,9.516e-05,2506.95143278
sell,9.5e-05,3471.41718467
sell,9.356e-05,3539.5
sell,9.491e-05,3593.79908576
sell,9.315e-05,3652.8757306
sell,9.497e-05,4178.25238797
sell,9.331e-05,5432.94723111
sell,9.472e-05,5989.66514293
sell,9.6e-05,6041.48912506
sell,9.439e-05,16500.0
