side,price,quantity
buy,0.90920001,11.44359308
buy,0.9169999,15.0
buy,0.937,15.0
buy,0.92001,16.0
buy,0.9236,16.0
buy,0.94000999,16.0
buy,0.9201,20.49365503
buy,0.94443993,21.19079516
buy,0.9293,29.05298063
buy,0.92255,30.2
buy,0.922,36.88365032
buy,0.94300046,36.91927438
buy,0.91109546,40.0
buy,0.917,40.0
buy,0.92125,42.0
buy,0.91686,47.78519144
buy,0.93923583,49.48961546
buy,0.929,50.0
buy,0.9412,50.0
buy,0.92123456,60.0
buy,0.92814707,60.0
buy,0.94443988,60.91859206
buy,0.94114587,61.00285496
buy,0.93786335,61.19263865
buy,0.9042001,61.27071187
buy,0.93459228,61.31069619
buy,0.93133262,61.44251271
buy,0.92808432,62.81611634
buy,0.92162168,62.84880982
buy,0.92484735,62.88324238
buy,0.91520404,62.91017267
buy,0.91840725,62.94877908
buy,0.910001,82.68671067
buy,0.927,91.0365494
buy,0.9218,99.94576578
buy,0.906,100.0
buy,0.908,100.0
buy,0.91000001,100.0
buy,0.912,100.0
buy,0.9128,100.0
buy,0.913,100.0
buy,0.914,100.0
buy,0.92599905,100.1529881
buy,0.93101011,100.76367484
buy,0.932,100.82798358
buy,0.9334,101.33955249
buy,0.926,102.0
buy,0.939,107.75323721
buy,0.9287644,111.95018424
buy,0.9101,126.91462477
buy,0.94300043,128.65093014
buy,0.91519,142.08812924
buy,0.907,142.42435281
buy,0.91221212,150.0
buy,0.92446321,151.0
buy,0.931139,152.23515715
buy,0.943,158.7333
buy,0.924009,200.0
buy,0.926009,200.0
buy,0.928009,200.0
buy,0.90352805,202.08114056
buy,0.915,229.875973
buy,0.92009,276.07951396
buy,0.9370313,295.35115349
buy,0.9177,318.2720605
buy,0.903,332.73728041
buy,0.9311,337.35875248
buy,0.904,343.0
buy,0.94300045,343.93703921
buy,0.915009,352.51591623
buy,0.940001,405.80860977
buy,0.93897639,484.39589778
buy,0.94115528,509.75591623
buy,0.921,576.97071345
buy,0.9305,644.8898259
buy,0.9309,680.77989042
buy,0.925,754.0515494
buy,0.93791,774.996
buy,0.910012,800.0
buy,0.923,1015.0
buy,0.9366,1287.45155669
buy,0.94115529,1548.21101625
buy,0.92450181,1632.5632351
buy,0.9304,1771.0
buy,0.909,1935.53333333
buy,0.9302,2000.0
buy,0.9303,2000.0
buy,0.905,2229.99991044
buy,0.935,2238.5
buy,0.9198793,2440.0112841
buy,0.94,2535.25506682
buy,0.9301,3068.40971905
buy,0.931,3383.03664876
buy,0.9215,5363.47959848
buy,0.911,5531.72509548
buy,0.90424882,6012.0
buy,0.94000101,6300.0
buy,0.92,7781.63309375
buy,0.93,10532.86598564
buy,0.91,22536.30585495
sell,0.9525,15.0
sell,0.969,15.0
sell,0.9864,15.0
sell,0.988,15.0
sell,0.999989,15.0
sell,1.000001,15.0
sell,0.98598636,15.008922
sell,0.9789999,15.137605
sell,0.983,15.3404833
sell,0.97499,15.968
sell,0.99499,15.968
sell,0.9699,16.0844743
sell,0.99724092,20.0
sell,0.96952,20.3563374
sell,0.98808105,20.83044776
sell,0.96699913,20.94137517
sell,0.969325,20.94802
sell,0.967,23.68149
sell,0.99999991,27.744
sell,0.999072,30.0
sell,1.001,31.8235138
sell,0.94775,32.0
sell,0.9714413,34.11475224
sell,0.9865,44.4332211
sell,0.986,45.7849202
sell,0.99387449,46.1665788
sell,0.962,49.9
sell,0.9579999,50.0
sell,0.9663706,60.36459255
sell,0.9630001,60.53431622
sell,0.95964136,60.63816767
sell,0.95629432,60.63816962
sell,0.95295897,60.70719987
sell,0.97997098,60.83004426
sell,0.98340088,60.83187208
sell,0.97655305,61.0496071
sell,0.97314703,61.1131374
sell,0.9697529,61.18280521
sell,0.972,63.33497943
sell,0.966,65.469
sell,0.989,71.8176568
sell,0.96301938,79.84
sell,0.9681826,83.12593502
sell,0.96365646,84.42602536
sell,0.97931155,87.28223177
sell,0.96847474,88.64732663
sell,0.99293227,91.64634336
sell,0.97331711,93.07969296
sell,0.9968,99.645476
sell,0.99888,99.8
sell,0.99278345,100.5260684
sell,0.99499998,100.945129
sell,0.9989,119.1649858
sell,0.9684115,119.76
sell,0.98985046,119.76
sell,0.9789,150.0
sell,0.953,153.21657659
sell,0.96932823,177.51857369
sell,0.97921933,186.39450238
sell,0.994,192.1390474
sell,0.9899999,192.227385
sell,0.98911044,195.7142275
sell,0.961,199.0
sell,0.99900154,205.49993887
sell,0.997,210.5449734
sell,0.97294987,213.0144189
sell,0.95697,257.0
sell,0.95851,257.0
sell,0.9587377,300.0
sell,0.9979999,331.461245
sell,0.95219999,361.37052373
sell,0.963,382.53
sell,0.975,415.5672148
sell,0.968,531.7364
sell,0.976,707.75
sell,0.95222,774.996
sell,0.9998,817.446265
sell,0.9761,900.0
sell,0.9698,1055.30612
sell,0.98,1223.9237931
sell,0.9988,1230.21143
sell,0.95696999,1275.0
sell,0.965,1280.348387
sell,0.958,1526.43779
sell,0.96,1659.747504
sell,0.979,1661.48578
sell,0.978,1698.48406
sell,0.985,1778.49719
sell,0.96666,2002.11937
sell,0.97,2823.062
sell,0.9912,3000.0
sell,0.992,4100.0
sell,0.9617,4492.0
sell,0.995,5372.31708369
sell,0.999,6117.9115829
sell,0.9522,6557.05153
sell,0.996,8289.91477
sell,0.99,8749.6601347
sell,0.95964135,16500.0
sell,1.0,19878.7892467
