side,price,quantity
buy,7.37e-05,2.07924704
buy,5.56e-05,9.03003597
buy,3.96e-05,10.0
buy,7.02e-05,10.0
buy,7.5e-05,10.0
buy,8.9e-05,13.7078
buy,5.7e-05,20.0
buy,8.13e-05,26.0
buy,7.98e-05,26.3
buy,5.5e-05,30.909
buy,8.96e-05,43.526
buy,7.81e-05,89.0
buy,1.11e-05,100.0
buy,1.15e-05,100.0
buy,6.09e-05,122.64334975
buy,5e-05,134.4
buy,9e-05,144.444
buy,6.67e-05,214.33930685
buy,5e-06,400.0
buy,3.35e-05,429.85
buy,3.06e-05,450.0
buy,9.17e-05,466.80336165
buy,8.6e-05,476.0
buy,2.1e-06,500.0
buy,2.42e-05,500.0
buy,9.18e-05,848.59624184
buy,2e-06,1000.0
buy,7e-05,1000.0
buy,4.53e-05,1051.249
buy,8e-07,1300.0
buy,5e-07,4000.0
buy,3.95e-05,4810.126
buy,1e-05,5200.0
buy,8.97e-05,5685.0
buy,9.14e-05,5685.0
buy,8.98e-05,9694.81228143
buy,2e-07,20000.0
buy,3e-07,50000.0
buy,1e-06,52000.0
buy,1e-07,520000.0
sell,0.0001433,6.978
sell,0.0001365,7.326
sell,0.0001477,7.66550522
sell,0.0001298,7.704
sell,0.0001401,7.92
sell,0.0001238,8.077
sell,0.0001134,9.783
sell,0.0001255,9.837
sell,0.0001123,10.0
sell,0.000171,10.0
sell,0.000173,10.0
sell,0.000175,10.0
sell,0.000176,10.0
sell,0.0001112,10.12891344
sell,0.0001105,10.16635859
sell,0.0001388,10.395
sell,0.0001061,10.60752169
sell,0.000102,10.871
sell,0.000138,11.279
sell,0.000119,12.0
sell,0.0001118,14.2199
sell,0.0001489,15.0
sell,0.000139,15.978
sell,0.000116,17.0
sell,0.0001463,17.94971208
sell,0.0001107,19.96
sell,0.0001754,20.0
sell,0.0001458,21.909
sell,0.0001003,23.17
sell,0.0001091,25.70629326
sell,0.0001529,27.949
sell,0.000145,37.021
sell,9.4e-05,39.628
sell,0.0001125,44.0
sell,0.0001052,44.507
sell,0.0001217,52.271
sell,9.32e-05,53.82553649
sell,0.0001525,68.105
sell,0.000118,73.609
sell,0.000117,81.644
sell,0.0001237,86.4016
sell,0.0001688,88.453
sell,0.0001514,100.0
sell,0.0001,100.516
sell,0.000155,103.152
sell,0.0001166,109.278
sell,0.0001012,113.09
sell,0.000105,113.205
sell,0.0001251,127.0
sell,0.0001673,130.866
sell,0.000172,131.547
sell,0.000174,131.547
sell,0.0001318,156.891
sell,0.0001233,162.028
sell,0.0001199,199.64
sell,0.0001765,200.0
sell,0.00017,210.017
sell,0.0001285,217.6034861
sell,9.29e-05,268.09564541
sell,0.0001043,291.98644584
sell,0.0001223,312.0
sell,0.0001293,327.76
sell,0.0001053,335.31802121
sell,9.34e-05,355.451
sell,0.0001136,357.1929
sell,0.0001165,386.873
sell,0.0001693,400.0
sell,0.0001259,461.49
sell,0.0001067,497.023
sell,0.00013,565.692
sell,0.000157,701.878
sell,0.0001106,721.241
sell,0.0001244,767.22699
sell,0.000104,807.648
sell,0.0001435,811.417
sell,0.000131,866.0
sell,0.0001068,871.48702064
sell,9.3e-05,888.75182797
sell,0.0001191,966.124272
sell,0.0001444,997.999
sell,0.000127,1000.0
sell,0.000129,1000.0
sell,0.000126,1008.8
sell,0.0001192,1063.72116782
sell,0.0001425,1177.0
sell,0.000128,1188.0
sell,0.0001219,1205.779
sell,0.00014,1387.898
sell,0.0001089,1610.989708
sell,9.45e-05,1755.23999132
sell,0.00015,1802.494
sell,9.7e-05,1969.3
sell,0.0001175,2159.633
sell,0.0001167,2744.84496132
sell,0.0001499,3525.665
sell,9.52e-05,3986.0
sell,0.000122,5087.763015
sell,9.35e-05,6072.959015
sell,0.00012,8586.309
sell,9.39e-05,29642.46151784
