side,price,quantity
buy,1.002e-05,1.0
buy,1.181e-05,1.0
buy,1.22e-06,1.0
buy,1.29e-05,1.0
buy,1.55e-05,1.0
buy,1.763e-05,1.0
buy,1.7e-05,1.0
buy,2.002e-05,1.0
buy,2.263e-05,1.0
buy,3.55e-05,1.0
buy,3.65e-05,1.0
buy,3.6e-07,1.0
buy,3.922e-05,1.0
buy,4.44e-05,1.0
buy,4.95e-05,1.0
buy,5.55e-05,1.0
buy,6.27e-06,1.0
buy,6.301e-05,1.0
buy,6.701e-05,1.0
buy,6e-06,1.0
buy,7.001e-05,1.0
buy,7.301e-05,1.0
buy,7.501e-05,1.0
buy,7.5e-06,1.0
buy,7.995e-05,1.0
buy,8.301e-05,1.0
buy,8.395e-05,1.0
buy,8.628e-05,1.0
buy,8.62e-05,1.0
buy,8.754e-05,1.0
buy,8.837e-05,1.0
buy,8.84e-05,1.0
buy,8e-06,1.0
buy,8e-07,1.0
buy,9.208e-05,1.0
buy,9.222e-05,1.0
buy,9.224e-05,1.0
buy,9.24e-05,1.0
buy,1.488e-05,2.0
buy,1.5e-07,2.0
buy,1.66e-05,2.0
buy,1.8e-07,2.0
buy,1.96e-05,2.0
buy,1.983e-05,2.0
buy,2.06e-05,2.0
buy,2.1e-07,2.0
buy,2.7e-07,2.0
buy,3.3e-07,2.0
buy,3.8e-05,2.0
buy,4.465e-05,2.0
buy,4.6e-05,2.0
buy,4.87e-05,2.0
buy,4.8e-05,2.0
buy,5.166e-05,2.0
buy,5.2e-05,2.0
buy,5.4e-05,2.0
buy,5.87e-05,2.0
buy,5.8e-05,2.0
buy,6.87e-05,2.0
buy,7.9e-05,2.0
buy,8.442e-05,2.0
buy,8.457e-05,2.0
buy,8.471e-05,2.0
buy,8.483e-05,2.0
buy,8.522e-05,2.0
buy,8.528e-05,2.0
buy,8.529e-05,2.0
buy,8.87e-05,2.0
buy,9.207e-05,2.0
buy,9.209e-05,2.0
buy,9.239e-05,2.0
buy,1.6e-07,3.0
buy,1.7e-07,3.0
buy,1.9e-07,3.0
buy,2.2e-07,3.0
buy,2.3e-07,3.0
buy,2.6e-07,3.0
buy,2.8e-07,3.0
buy,2.9e-07,3.0
buy,3.1e-07,3.0
buy,3.2e-07,3.0
buy,3.4e-05,3.0
buy,3.513e-05,3.0
buy,3.6e-05,3.0
buy,7.352e-05,3.0
buy,8.32e-05,3.0
buy,8.505e-05,3.0
buy,9.165e-05,3.0
buy,9.18e-05,3.0
buy,4.023e-05,4.0
buy,5.066e-05,4.0
buy,6.7e-05,4.0
buy,7.81e-05,4.0
buy,1.87e-05,5.0
buy,1.88e-05,5.0
buy,1.89e-05,5.0
buy,6.4e-05,5.0
buy,7.8e-05,5.0
buy,8.692e-05,5.0
buy,1.646e-05,6.0
buy,3.58e-05,6.0
buy,6.501e-05,6.0
buy,8.684e-05,6.0
buy,4.3e-05,7.0
buy,1.4e-05,8.0
buy,6.1e-05,8.0
buy,7.621e-05,8.0
buy,8.65e-05,8.0
buy,9.217e-05,8.0
buy,2.894e-05,9.0
buy,1.344e-05,10.0
buy,1.725e-05,10.0
buy,1.95e-05,10.0
buy,1.99e-05,10.0
buy,3.71e-05,10.0
buy,3.805e-05,10.0
buy,3.87e-05,10.0
buy,3.999e-05,10.0
buy,5.121e-05,10.0
buy,7.55e-05,10.0
buy,8.225e-05,10.0
buy,8.534e-05,10.0
buy,8.78e-05,10.0
buy,9.075e-05,10.0
buy,9e-08,10.0
buy,3.3e-05,11.0
buy,9.162e-05,11.0
buy,2.1e-05,12.0
buy,2.2e-05,12.0
buy,2.4e-05,12.0
buy,2.6e-05,12.0
buy,4.5e-05,12.0
buy,6.65e-06,12.0
buy,8.375e-05,12.0
buy,2.3e-05,13.0
buy,2.7e-05,13.0
buy,2.8e-05,13.0
buy,2.9e-05,13.0
buy,2.855e-05,15.0
buy,3.2e-05,15.0
buy,3.723e-05,16.0
buy,4.442e-05,17.0
buy,3.827e-05,18.0
buy,9.205e-05,19.0
buy,1.116e-05,20.0
buy,3.005e-05,20.0
buy,7.77e-05,20.0
buy,8.56e-05,20.0
buy,9.105e-05,20.0
buy,7.801e-05,22.0
buy,8.652e-05,23.0
buy,8.451e-05,24.0
buy,8.57e-05,24.0
buy,4.919e-05,25.0
buy,6.39e-05,25.0
buy,6.915e-05,25.0
buy,8.297e-05,25.0
buy,8.445e-05,25.0
buy,2.231e-05,26.0
buy,1.9e-05,27.0
buy,2.225e-05,27.0
buy,9.23e-05,29.0
buy,4.2e-05,30.0
buy,8.767e-05,30.0
buy,8.972e-05,30.0
buy,1.104e-05,31.0
buy,1.796e-05,33.0
buy,2.188e-05,33.0
buy,2.384e-05,33.0
buy,2.776e-05,33.0
buy,2.972e-05,33.0
buy,3.364e-05,33.0
buy,3.952e-05,33.0
buy,4.148e-05,33.0
buy,4.54e-05,33.0
buy,4.736e-05,33.0
buy,5.128e-05,33.0
buy,5.324e-05,33.0
buy,5.716e-05,33.0
buy,5.912e-05,33.0
buy,6.304e-05,33.0
buy,6.892e-05,33.0
buy,7.088e-05,33.0
buy,7.676e-05,33.0
buy,8.068e-05,33.0
buy,8.264e-05,33.0
buy,8.656e-05,33.0
buy,1.992e-05,34.0
buy,2.58e-05,34.0
buy,2.5e-05,34.0
buy,3.168e-05,34.0
buy,3.756e-05,34.0
buy,4.344e-05,34.0
buy,4.932e-05,34.0
buy,5.52e-05,34.0
buy,6.108e-05,34.0
buy,6.696e-05,34.0
buy,7.284e-05,34.0
buy,7.872e-05,34.0
buy,8.46e-05,34.0
buy,5.485e-05,35.0
buy,5.948e-05,35.0
buy,9.21e-05,36.0
buy,4.65e-05,40.0
buy,4.879e-05,42.0
buy,6.666e-05,42.0
buy,7.777e-05,42.0
buy,9.213e-05,42.0
buy,3e-06,43.0
buy,8.85e-05,43.0
buy,3.5e-05,44.0
buy,5.785e-05,46.0
buy,6.57e-05,46.0
buy,7.355e-05,46.0
buy,8.14e-05,46.0
buy,9.05e-05,46.0
buy,5.197e-05,47.0
buy,5.393e-05,47.0
buy,5.589e-05,47.0
buy,5.981e-05,47.0
buy,6.178e-05,47.0
buy,6.374e-05,47.0
buy,6.766e-05,47.0
buy,6.962e-05,47.0
buy,7.159e-05,47.0
buy,7.551e-05,47.0
buy,7.747e-05,47.0
buy,7.943e-05,47.0
buy,8.336e-05,47.0
buy,8.728e-05,47.0
buy,1.749e-05,48.0
buy,8.532e-05,48.0
buy,2.264e-05,50.0
buy,2e-06,50.0
buy,8.789e-05,52.0
buy,1.09e-05,57.0
buy,2.02e-06,60.0
buy,1.544e-05,61.0
buy,3.1e-05,61.0
buy,7.981e-05,61.0
buy,2e-05,63.0
buy,1.25e-05,80.0
buy,4e-05,91.0
buy,8.835e-05,91.0
buy,8.27e-05,95.0
buy,8.997e-05,96.0
buy,1.3e-05,100.0
buy,1.49e-05,100.0
buy,3.68e-05,100.0
