side,price,quantity
buy,4.321e-05,1.0
buy,4.85e-05,1.0
buy,5.1e-05,1.0
buy,5.682e-05,1.0
buy,5.697e-05,1.0
buy,6.25e-05,1.0
buy,7.026e-05,1.0
buy,8.044e-05,1.0
buy,8.15e-05,1.0
buy,9.05e-05,1.0
buy,9.215e-05,1.0
buy,6.48e-05,2.0
buy,8.421e-05,3.0
buy,5.3e-05,4.0
buy,8.822e-05,5.0
buy,7.32e-05,6.0
buy,9.203e-05,6.0
buy,7.728e-05,7.0
buy,8.524e-05,8.0
buy,9.185e-05,8.0
buy,8.126e-05,9.0
buy,4.799e-05,10.0
buy,8.08e-05,10.0
buy,6.819e-05,11.0
buy,7.8e-05,12.0
buy,8.662e-05,18.0
buy,8.905e-05,18.0
buy,8.305e-05,20.0
buy,8.553e-05,20.0
buy,8.988e-05,20.0
buy,9.015e-05,20.0
buy,8.78e-05,28.0
buy,7.709e-05,30.0
buy,8.417e-05,35.0
buy,8.866e-05,35.0
buy,5.5e-05,40.0
buy,8.486e-05,40.0
buy,7.61e-05,48.0
buy,9.2e-05,48.0
buy,6.951e-05,50.0
buy,8.418e-05,50.0
buy,9.034e-05,50.0
buy,9.088e-05,50.0
buy,8.555e-05,55.0
buy,7.935e-05,56.0
buy,8.303e-05,56.0
buy,8.549e-05,56.0
buy,8.795e-05,56.0
buy,9.041e-05,56.0
buy,6.709e-05,60.0
buy,7.5e-05,79.0
buy,4.709e-05,100.0
buy,5.709e-05,100.0
buy,6.165e-05,100.0
buy,7.95e-05,100.0
buy,8.3e-05,100.0
buy,8.681e-05,100.0
buy,8.98e-05,100.0
buy,4.9e-05,101.0
buy,7.21e-05,117.0
buy,8.31e-05,121.0
buy,5.293e-05,123.0
buy,8.333e-05,126.0
buy,6.111e-05,131.0
buy,6.516e-05,147.0
buy,9.208e-05,150.0
buy,7.101e-05,153.0
buy,9.109e-05,155.0
buy,6.579e-05,161.0
buy,8.06e-05,174.0
buy,9.196e-05,174.0
buy,9.205e-05,174.0
buy,7.647e-05,196.0
buy,5.033e-05,200.0
buy,9.197e-05,200.0
buy,5.803e-05,226.0
buy,9.116e-05,236.0
buy,9.118e-05,258.0
buy,5.6e-05,262.0
buy,8.2e-05,274.0
buy,7.7e-05,291.0
buy,6.888e-05,315.0
buy,5.2e-05,325.0
buy,9.066e-05,330.0
buy,6.318e-05,431.0
buy,7.1e-05,435.0
buy,8.65e-05,439.0
buy,8.014e-05,500.0
buy,8.288e-05,532.0
buy,5.988e-05,553.0
buy,8.756e-05,555.0
buy,8.845e-05,627.0
buy,8.144e-05,630.0
buy,8.9e-05,740.0
buy,7.31e-05,900.0
buy,8.405e-05,944.0
buy,9.148e-05,960.0
buy,8.888e-05,986.0
buy,7.102e-05,993.0
buy,6.975e-05,999.0
buy,6.691e-05,1091.0
buy,9.1e-05,1113.0
buy,8.1e-05,1119.0
buy,9.252e-05,1297.0
buy,7.3e-05,1348.0
buy,9.103e-05,1360.0
buy,6.789e-05,1500.0
buy,6.9e-05,1562.0
buy,6.4e-05,1579.0
buy,8.95e-05,1618.0
buy,7.97e-05,1726.0
buy,6e-05,1744.0
buy,8.4e-05,1877.0
buy,8.01e-05,2000.0
buy,8.692e-05,2000.0
buy,8.96e-05,2000.0
buy,9.147e-05,2002.0
buy,6.008e-05,2005.0
buy,9.211e-05,2297.0
buy,6.818e-05,3000.0
buy,8.918e-05,3000.0
buy,7.123e-05,3571.0
buy,6.7e-05,3600.0
buy,8.781e-05,3608.0
buy,9.194e-05,3840.0
buy,9.225e-05,4448.0
buy,6.05e-05,5000.0
buy,8.111e-05,5000.0
buy,8.395e-05,5000.0
buy,8.5e-05,5085.0
buy,9.193e-05,5625.0
buy,9.009e-05,6199.0
buy,7e-05,6396.0
buy,6.5e-05,6857.0
buy,5e-05,8637.0
buy,8.801e-05,9262.0
buy,9.008e-05,9398.0
buy,7.501e-05,9703.0
buy,6.8e-05,9972.0
buy,5.288e-05,11134.0
buy,8.7e-05,11162.0
buy,8e-05,17969.0
buy,9.212e-05,31054.0
buy,9.213e-05,31214.0
buy,5.8e-05,34793.0
buy,8.981e-05,70975.0
buy,9.145e-05,70975.0
buy,9e-05,188837.0
buy,8.8e-05,302973.0
buy,8.6e-05,422067.0
sell,0.00012332,2.0
sell,0.00010557,3.0
sell,0.000107,4.0
sell,9.85e-05,6.0
sell,0.00010008,7.0
sell,0.0001225,8.0
sell,9.998e-05,9.0
sell,0.00010249,11.0
sell,0.00010843,12.0
sell,0.00011059,12.0
sell,0.00011491,12.0
sell,0.00012214,12.0
sell,0.00010528,13.0
