side,price,quantity
buy,1029.0,20.04
buy,1036.0,75.0
buy,1039.0,96.24639
buy,1033.0,129.041626
buy,1028.0,445.990271
buy,1023.0,554.297165
buy,1027.0,816.774099
buy,1049.0,1277.377501
buy,1024.0,1458.172851
buy,1044.0,1686.373563
buy,1026.0,1950.0
buy,1054.0,2315.9481
buy,1046.0,2754.049713
buy,1051.0,9203.427212
buy,1025.0,10774.291706
buy,1031.0,12400.0
buy,1035.0,12488.257847
buy,1043.0,14753.602108
buy,1053.0,15068.754034
buy,1052.0,17262.674904
buy,1032.0,18432.000967
buy,1055.0,20486.7845
buy,1045.0,22725.86602
buy,1047.0,23506.669131
buy,1042.0,52181.711132
buy,1048.0,54016.793893
buy,1050.0,59697.033597
buy,1041.0,87024.902977
buy,1030.0,105312.11952
buy,1040.0,248639.352877
sell,1077.0,49.9
sell,1056.0,563.743891
sell,1072.0,944.89603
sell,1073.0,1725.034924
sell,1080.0,1845.586757
sell,1076.0,1901.050491
sell,1094.0,2008.4
sell,1095.0,2095.92
sell,1090.0,2294.597678
sell,1088.0,2982.064888
sell,1086.0,4166.210146
sell,1069.0,4436.958149
sell,1075.0,6100.0
sell,1078.0,7640.467797
sell,1081.0,7745.165951
sell,1079.0,7998.4
sell,1066.0,8416.089279
sell,1085.0,8789.699276
sell,1070.0,9172.309708
sell,1084.0,9534.587833
sell,1082.0,9792.901926
sell,1067.0,10010.768706
sell,1089.0,10534.572642
sell,1074.0,13421.132119
sell,1057.0,16896.067608
sell,1060.0,18592.44111
sell,1061.0,23976.097507
sell,1083.0,25629.656896
sell,1091.0,146583.433299
sell,1068.0,174434.0
