side,price,quantity
buy,9.169e-05,0.019
buy,8.45e-05,30.0
buy,8.54e-05,30.0
buy,8.569e-05,30.0
buy,8.651e-05,30.0
buy,8.736e-05,30.0
buy,8.995e-05,30.0
buy,9.041e-05,33.0
buy,8.72e-05,33.013
buy,8.947e-05,34.5
buy,8.856e-05,36.0
buy,8.766e-05,37.5
buy,8.81e-05,38.13
buy,8.678e-05,39.0
buy,8.37e-05,40.0
buy,8.592e-05,40.5
buy,8.508e-05,42.0
buy,8.53e-05,50.0
buy,9.05e-05,50.0
buy,9.14e-05,50.0
buy,9.16e-05,50.0
buy,9.25e-05,50.0
buy,8.801e-05,56.812
buy,8.59e-05,58.208
buy,8.757e-05,67.5
buy,9.178e-05,88.24
buy,8.638e-05,89.868
buy,9.054e-05,95.649
buy,9.08e-05,97.0
buy,8.712e-05,100.0
buy,8.787e-05,100.0
buy,8.885e-05,100.0
buy,8.626e-05,120.566
buy,8.34e-05,125.0
buy,9.244e-05,144.858
buy,8.75e-05,200.0
buy,8.87e-05,200.0
buy,8.868e-05,214.041
buy,9.07e-05,220.177
buy,8.51e-05,235.018
buy,9.212e-05,300.0
buy,9.209e-05,302.0
buy,8.805e-05,350.0
buy,8.83e-05,453.002
buy,8.4e-05,480.0
buy,8.401e-05,500.0
buy,8.62e-05,500.0
buy,8.98e-05,500.0
buy,9.01e-05,500.0
buy,9.208e-05,554.0
buy,9.227e-05,554.0
buy,9.232e-05,670.0
buy,8.9e-05,675.281
buy,9.085e-05,682.884
buy,9.24e-05,687.039
buy,9.12e-05,812.61
buy,8.669e-05,1000.0
buy,8.499e-05,1176.61
buy,9.231e-05,1232.383
buy,8.767e-05,1283.226
buy,9.195e-05,1292.076
buy,9.199e-05,1315.415
buy,9.065e-05,1400.0
buy,8.35e-05,1550.0
buy,9.15e-05,1637.784
buy,8.775e-05,2000.0
buy,8.89e-05,2000.0
buy,9.1e-05,2068.462
buy,8.425e-05,2143.56
buy,8.343e-05,2444.0
buy,9.132e-05,2500.186
buy,9.131e-05,2581.39
buy,8.5e-05,2796.887
buy,8.789e-05,2842.303
buy,9.13e-05,3191.074
buy,9.23e-05,3348.0
buy,9.077e-05,3966.359
buy,8.6e-05,5200.0
buy,9.198e-05,5391.417
buy,8.85e-05,5500.0
buy,8.82e-05,7000.0
buy,9.03e-05,8000.0
buy,9.21e-05,8070.7
buy,8.52e-05,9664.414
buy,9e-05,10455.434
buy,8.695e-05,11500.0
buy,9.181e-05,11871.2
buy,9.194e-05,15052.4
buy,8.996e-05,18309.916
buy,9.096e-05,31988.668
buy,8.96e-05,59356.0
buy,8.8e-05,67679.819
buy,9.001e-05,76532.3
buy,8.88e-05,80222.0
buy,9.161e-05,99404.866
buy,8.7e-05,100705.0
buy,8.501e-05,105541.378
buy,9.182e-05,117446.475
buy,9.143e-05,118712.0
buy,8.822e-05,118742.0
sell,9.29e-05,5.343
sell,0.00010022,30.0
sell,0.00010121,30.0
sell,0.0001016,30.0
sell,0.0001022,30.0
sell,0.000103,30.0
sell,0.0001032,30.0
sell,9.546e-05,30.0
sell,9.64e-05,30.0
sell,9.734e-05,30.0
sell,9.829e-05,30.0
sell,9.926e-05,30.0
sell,9.554e-05,31.108
sell,0.00010182,33.0
sell,9.42e-05,34.0
sell,9.7e-05,39.0
sell,0.00010377,50.0
sell,0.0001038,50.0
sell,9.292e-05,55.26
sell,9.971e-05,60.0
sell,9.27e-05,62.0
sell,0.00010271,78.558
sell,0.00010269,78.573
sell,0.00010227,78.859
sell,0.0001021,79.068
sell,0.00010199,79.115
sell,0.00010272,79.685
sell,9.871e-05,81.033
sell,9.914e-05,83.241
sell,9.326e-05,86.9
sell,0.00010111,146.0
sell,9.907e-05,150.0
sell,0.00010127,159.823
sell,9.261e-05,181.024
sell,9.34e-05,200.0
sell,9.31e-05,210.0
sell,0.00010203,237.281
sell,9.641e-05,250.0
sell,9.26e-05,255.0
sell,9.5e-05,364.583
sell,0.00010085,399.764
sell,0.00010032,500.0
sell,0.00010288,500.0
sell,9.688e-05,500.0
sell,9.888e-05,500.0
sell,9.3e-05,508.448
sell,9.588e-05,513.0
sell,9.532e-05,573.0
sell,9.268e-05,650.0
sell,0.00010222,700.0
sell,9.4e-05,959.0
sell,0.00010116,967.0
sell,9.94e-05,996.0
sell,0.00010256,1000.0
sell,9.58e-05,1000.0
sell,9.592e-05,1000.0
sell,0.00010138,1017.0
sell,0.00010225,1079.0
sell,9.45e-05,1273.0
sell,9.845e-05,1400.0
sell,9.35e-05,1430.0
sell,9.761e-05,1454.0
sell,9.46e-05,1500.0
sell,0.00010375,1696.467
sell,0.0001037,1766.777
sell,9.385e-05,1773.0
sell,0.0001023,2000.0
sell,9.264e-05,2015.856
sell,9.407e-05,2213.0
sell,9.293e-05,2475.5
sell,9.55e-05,2483.0
sell,9.98e-05,2500.0
sell,9.284e-05,3685.13
sell,9.95e-05,3860.0
sell,9.75e-05,4000.0
sell,9.397e-05,4500.0
sell,9.396e-05,5000.0
sell,9.61e-05,5000.0
sell,9.322e-05,5391.417
sell,0.000102,6630.0
sell,0.00010113,6760.973
sell,9.312e-05,8070.7
sell,9.8e-05,10310.1
sell,9.291e-05,11297.343
sell,9.9e-05,11660.509
sell,9.329e-05,11871.2
sell,9.33e-05,12414.746
sell,0.000101,15030.01
sell,9.333e-05,15052.4
sell,9.6e-05,20434.957
sell,9.315e-05,30648.962
sell,9.49e-05,33212.668
sell,9.374e-05,43971.431
sell,9.549e-05,45438.932
sell,0.000104,52524.0
