side,price,quantity
buy,0.7012,30.0
buy,0.70383,30.0
buy,0.70883,30.0
buy,0.71383,30.0
buy,0.7151,30.0
buy,0.71883,30.0
buy,0.72383,30.0
buy,0.72866,41.0
buy,0.72791,41.243
buy,0.71323,42.0
buy,0.70584,48.0
buy,0.72901,49.591
buy,0.7045,54.0
buy,0.7131,56.093
buy,0.72111,69.338
buy,0.73118,82.733
buy,0.72459,91.203
buy,0.7111,100.0
buy,0.71359,100.0
buy,0.73039,100.0
buy,0.71049,114.343
buy,0.73303,121.845
buy,0.73339,122.078
buy,0.7205,138.793
buy,0.7101,140.826
buy,0.708,225.0
buy,0.70085,234.0
buy,0.70101,250.0
buy,0.716,250.0
buy,0.72002,250.0
buy,0.7018,270.02
buy,0.728,274.726
buy,0.72371,279.118
buy,0.73045,299.0
buy,0.7342,300.0
buy,0.70999,330.0
buy,0.73421,370.0
buy,0.709,413.0
buy,0.714,428.824
buy,0.73332,478.0
buy,0.7051,525.0
buy,0.7322,681.2
buy,0.72724,687.531
buy,0.7303,727.907
buy,0.72701,744.7
buy,0.7161,900.0
buy,0.724,997.365
buy,0.73044,998.0
buy,0.72001,1000.0
buy,0.7202,1000.0
buy,0.718,1030.0
buy,0.72603,1361.504
buy,0.70401,1420.435
buy,0.712,1450.0
buy,0.70111,1460.0
buy,0.707,1670.722
buy,0.72384,1846.263
buy,0.70001,1850.0
buy,0.70567,1900.0
buy,0.706,2018.431
buy,0.7041,2304.0
buy,0.71001,2408.431
buy,0.725,2619.945
buy,0.722,2665.042
buy,0.705,3170.0
buy,0.73281,3199.99
buy,0.71901,3214.296
buy,0.719,3249.387
buy,0.7321,3488.775
buy,0.70048,3500.0
buy,0.7055,3500.0
buy,0.73119,3690.588
buy,0.70412,3977.399
buy,0.717,4181.423
buy,0.71999,5000.0
buy,0.7001,5295.0
buy,0.703,5480.0
buy,0.715,5724.651
buy,0.726,6176.783
buy,0.704,6440.0
buy,0.721,9023.152
buy,0.713,9210.0
buy,0.7304,9290.0
buy,0.7201,10000.0
buy,0.72305,15195.144
buy,0.723,16409.3
buy,0.701,18942.287
buy,0.72723,20000.0
buy,0.711,21888.017
buy,0.72929,26658.749
buy,0.73,35928.151
buy,0.72,39045.747
buy,0.72783,43524.487
buy,0.7003,52146.224
buy,0.71,56907.005
buy,0.72601,77304.196
buy,0.70819,100000.0
buy,0.73042,103779.222
buy,0.72173,200000.0
buy,0.7,309960.571
sell,0.73726,30.0
sell,0.75295,30.0
sell,0.75999,30.0
sell,0.761,30.0
sell,0.769,30.0
sell,0.7745,30.0
sell,0.7875,31.0
sell,0.777,35.0
sell,0.7559,40.089
sell,0.74068,40.646
sell,0.77761,42.0
sell,0.782,50.0
sell,0.7496,54.43
sell,0.774,61.0
sell,0.7599,68.844
sell,0.77332,90.79
sell,0.74446,90.83
sell,0.7589,100.0
sell,0.771,100.0
sell,0.7724,100.0
sell,0.78797,100.0
sell,0.7932,100.0
sell,0.73682,109.193
sell,0.78955,110.0
sell,0.7749,133.69
sell,0.751,141.94
sell,0.78497,150.0
sell,0.74,163.002
sell,0.7623,187.76
sell,0.74299,210.388
sell,0.7394,231.806
sell,0.756,250.0
sell,0.7777,250.0
sell,0.7944,250.0
sell,0.75064,269.906
sell,0.73728,299.0
sell,0.739,300.0
sell,0.749,300.0
sell,0.762,300.0
sell,0.783,300.0
sell,0.78332,300.0
sell,0.78999,335.883
sell,0.77358,350.0
sell,0.794,374.0
sell,0.7605,399.518
sell,0.74455,400.0
sell,0.755,400.0
sell,0.758,435.0
sell,0.77226,500.0
sell,0.7839,500.0
sell,0.7511,540.541
sell,0.7555,550.0
sell,0.787,794.7
sell,0.789,900.0
sell,0.73537,977.0
sell,0.73568,977.0
sell,0.73729,998.0
sell,0.77026,1350.0
sell,0.765,1400.0
sell,0.778,1467.3
sell,0.74061,1500.0
sell,0.744,1815.805
sell,0.743,1845.0
sell,0.746,2005.0
sell,0.793,2150.549
sell,0.786,2656.938
sell,0.76551,2669.434
sell,0.78567,3283.43
sell,0.7766,3300.0
sell,0.7455,3966.249
sell,0.768,4456.9
sell,0.779,5030.0
sell,0.754,5461.0
sell,0.76214,5500.0
sell,0.7682,6000.0
sell,0.77,7797.786
sell,0.784,9002.5
sell,0.78448,9340.505
sell,0.759,9489.754
sell,0.785,9604.943
sell,0.7395,10000.0
sell,0.745,11000.0
sell,0.788,11000.0
sell,0.764,11373.0
sell,0.775,11566.25
sell,0.791,12800.0
sell,0.74171,20000.0
sell,0.792,20060.0
sell,0.75,22215.046
sell,0.7381,27458.749
sell,0.7676,30000.0
sell,0.781,31777.42
sell,0.79,37265.968
sell,0.78,41785.677
sell,0.73957,43524.487
sell,0.74399,43971.431
sell,0.73731,61297.954
sell,0.75686,82923.666
sell,0.76,101214.464
sell,0.74413,200000.0
