side,price,quantity
buy,83.326,62.0
buy,80.0,62.5
buy,75.0,100.0
buy,60.0,150.0
buy,92.0,166.383
buy,86.0,200.0
buy,87.0,200.0
buy,88.0,200.0
buy,91.0,200.0
buy,95.379,392.648
buy,92.001,495.835
buy,0.969,500.0
buy,1.26,1000.0
buy,90.0,1140.0
buy,95.391,1962.928
buy,95.0,6000.0
sell,97.0,0.066
sell,343.11,30.0
sell,109.89,31.599
sell,639.99,40.0
sell,113.0,49.85
sell,104.086,53.225
sell,109.9,74.886
sell,109.868,200.0
sell,888.0,250.0
sell,171.0,500.0
sell,109.867,3154.054
sell,1000.0,3450.566
sell,125.0,4000.0
sell,11500.0,4988.0
sell,2988.0,4988.0
sell,4988.0,4988.0
sell,698.0,4988.0
sell,172.0,7314.285
sell,800.0,20000.0
sell,850.0,20000.0
sell,900.0,20000.0
sell,950.0,20000.0
