side,price,quantity
buy,9.07e-05,0.10527697
buy,9.115e-05,0.10527697
buy,9.161e-05,0.21055395
buy,9.207e-05,0.42110791
buy,7.951e-05,0.99816734
buy,1e-07,1.0
buy,3.132e-05,1.0
buy,3.608e-05,1.0
buy,8.8e-05,1.002
buy,9.015e-05,1.1457
buy,8.911e-05,1.1686
buy,8.706e-05,1.2159
buy,8.507e-05,1.2649
buy,8.409e-05,1.2903
buy,8.312e-05,1.3161
buy,8.216e-05,1.3425
buy,8.121e-05,1.3693
buy,8.027e-05,1.3967
buy,7.934e-05,1.4246
buy,7.842e-05,1.4531
buy,7.751e-05,1.4822
buy,8.831e-05,1.48946501
buy,7.661e-05,1.5118
buy,7.573e-05,1.5421
buy,7.486e-05,1.5729
buy,8.465e-05,1.58413742
buy,7.4e-05,1.6044
buy,7.315e-05,1.6365
buy,8.281e-05,2.35270293
buy,3.742e-05,2.40488758
buy,6.97e-05,2.74490674
buy,8.716e-05,3.40725761
buy,5.16e-06,5.0
buy,3.2e-05,6.0
buy,3.4e-05,6.0
buy,3.6e-05,6.0
buy,3e-05,6.0
buy,6.001e-05,9.04632561
buy,1.11e-06,10.0
buy,9e-05,11.002
buy,9.189e-05,12.0
buy,8.808e-05,12.5692121
buy,8.571e-05,14.92299614
buy,8.434e-05,15.10864822
buy,4.5e-05,16.28941183
buy,5.1e-07,20.0
buy,9.17e-05,20.0
buy,9.146e-05,20.776
buy,8.789e-05,23.09112435
buy,7.086e-05,23.25672
buy,4e-05,26.0
buy,9.039e-05,28.18733738
buy,9.041e-05,29.43404021
buy,5e-05,30.0
buy,2.77e-05,36.028
buy,8.857e-05,36.999
buy,2.2e-07,50.0
buy,6.104e-05,50.0
buy,8.33e-05,50.0
buy,8.884e-05,50.233
buy,7.5e-05,50.77536533
buy,1.847e-05,54.032
buy,6.8e-05,56.241
buy,3.25e-06,57.72691068
buy,5.3e-05,60.0
buy,9.024e-05,99.099
buy,1.6e-06,100.0
buy,3.03e-05,100.0
buy,4.6e-06,100.0
buy,5.001e-05,100.0
buy,8.264e-05,100.0
buy,9.259e-05,119.52687651
buy,9.144e-05,145.214
buy,8.606e-05,151.2402
buy,8.609e-05,197.49394331
buy,4.2e-05,200.0
buy,4.6e-05,200.0
buy,3.8e-05,206.0
buy,8.869e-05,210.54
buy,8.512e-05,239.66188909
buy,8.68e-05,241.04827188
buy,7.758e-05,293.83302655
buy,1.61e-05,300.0
buy,5e-06,300.0
buy,9.086e-05,366.55866167
buy,6e-05,410.0
buy,8.811e-05,500.0
buy,9.215e-05,501.38736316
buy,2e-05,600.0
buy,9.12e-05,610.24084385
buy,9.2e-05,658.105
buy,9.18e-05,661.96285403
buy,1.9e-07,748.21052631
buy,6.664e-05,811.78574858
buy,9.1e-05,928.95516484
buy,3e-07,933.33333333
buy,9.99e-06,999.0
buy,1.9e-05,1000.0
buy,4.6e-07,1000.0
buy,7.601e-05,1000.0
buy,8.101e-05,1000.0
buy,8.1e-05,1000.0
buy,8.2e-05,1000.0
buy,8.366e-05,1000.0
buy,8.3e-05,1000.0
buy,8.4e-05,1000.0
buy,8.501e-05,1000.0
buy,8.701e-05,1000.0
buy,8.9e-07,1000.0
buy,1.1e-05,1001.0
buy,9.214e-05,1039.711339
buy,8.15e-05,1051.45165644
buy,1.55e-06,1290.32258065
buy,1e-06,1372.9534
buy,1.7e-06,1450.594
buy,1.179e-05,2000.0
buy,8.601e-05,2000.0
buy,8.001e-05,2141.90288713
buy,7e-05,2385.71428571
buy,9.213e-05,2484.88657335
buy,1.1e-07,2507.90909091
buy,8.5e-05,3057.97167176
buy,7.7e-05,3760.00400368
buy,9.114e-05,4169.41
buy,9.113e-05,4169.867
buy,7.9e-05,5000.0
buy,8e-05,5904.31348994
buy,9.063e-05,7567.73264923
buy,7.8e-05,8000.0
buy,6e-08,10000.0
buy,7e-08,10000.0
buy,8e-08,10000.0
buy,5e-08,10500.0
buy,9.201e-05,11592.51657217
buy,1e-05,12000.0
buy,8.9e-05,13118.47181572
buy,8.053e-05,13333.0
buy,2e-07,15049.9125
buy,6.101e-05,17095.19536591
buy,1.09e-06,20000.0
buy,3.5e-05,20000.0
buy,3e-08,20000.0
buy,4e-08,21000.0
buy,1.2e-05,23937.2725
buy,7.67e-05,31335.8218
buy,2e-08,32682.0
buy,9.002e-05,69907.0
buy,9.171e-05,69907.0
buy,9e-08,200000.0
buy,1e-08,1205032.2
sell,9.397e-05,0.10419059
sell,9.444e-05,0.10419059
sell,0.00013555,0.30863205
sell,9.303e-05,0.41676239
sell,0.00013399,0.68695518
sell,0.00011635,0.7541
sell,0.00011501,0.7691
sell,0.00011368,0.7844
sell,0.00011237,0.8001
sell,0.00011107,0.816
sell,0.00010979,0.8323
sell,0.00010852,0.8488
sell,0.00010727,0.8657
sell,0.00010603,0.883
sell,0.00010481,0.9006
sell,0.0001036,0.9185
sell,0.00010241,0.9368
sell,0.00010123,0.9555
sell,0.00010006,0.9745
sell,9.891e-05,0.9939
sell,0.00010387,1.0
sell,9.777e-05,1.0137
sell,9.664e-05,1.0339
sell,9.553e-05,1.0545
sell,9.443e-05,1.0753
sell,9.334e-05,1.0969
sell,0.00013488,1.16873282
sell,0.0001296,1.65872414
sell,0.0001133,2.28512755
sell,0.00013788,2.65990368
sell,0.0001474,2.93529411
sell,0.00013683,3.27672
sell,0.0001375,3.806
sell,0.00014661,4.10178
sell,0.00013818,4.201
sell,0.0001418,4.203
sell,0.00014079,4.458
sell,0.00014003,4.482
sell,0.00014117,4.834
sell,0.00014267,4.918
sell,0.00014377,4.992
sell,0.000113,5.47903863
sell,0.00014284,7.6846
sell,0.00014251,7.77445245
sell,0.00013415,9.02878826
sell,0.00014725,9.67062
sell,0.0001088,10.0
sell,0.000135,10.0
sell,9.996e-05,10.0
