side,price,quantity
buy,9.185e-05,1.12294879
buy,9.17e-05,2.23076086
buy,9.224e-05,3.81136167
buy,9.182e-05,5.44543673
buy,9.231e-05,11.04972376
buy,9.235e-05,13.12495941
buy,9.179e-05,14.325019
buy,9.193e-05,20.0
buy,9.203e-05,20.0
buy,9.204e-05,20.0
buy,9.208e-05,20.0
buy,9.219e-05,20.0
buy,9.21e-05,20.0
buy,9.213e-05,31.29273852
buy,9.195e-05,31.54116368
buy,9.183e-05,40.0
buy,9.167e-05,55.35783335
buy,9.23e-05,102.23969713
buy,9.176e-05,102.61407252
buy,9.207e-05,108.61301184
buy,9.191e-05,108.90468937
buy,9.205e-05,152.52525801
buy,9.172e-05,153.85990888
buy,9.221e-05,176.30853487
buy,9.233e-05,200.0
buy,9.234e-05,206.47929088
buy,9.265e-05,241.95035327
buy,9.165e-05,312.84528097
buy,9.2e-05,405.58506189
buy,9.253e-05,568.16643251
buy,9.212e-05,653.22490696
buy,9.175e-05,1088.6358004
buy,9.261e-05,1443.50295575
buy,9.211e-05,1642.8950713
buy,9.197e-05,1657.03468205
buy,9.18e-05,2173.20250571
buy,9.171e-05,2562.59322158
buy,9.19e-05,2743.78616963
buy,9.245e-05,2995.53824994
buy,9.22e-05,4534.2318689
buy,9.201e-05,4981.61241901
buy,9.198e-05,5384.75015913
buy,9.199e-05,5411.43254801
buy,9.255e-05,5635.19846757
buy,9.163e-05,5710.96
buy,9.256e-05,7013.04610668
buy,9.164e-05,8488.00054561
buy,9.202e-05,28509.9950713
buy,9.218e-05,29331.66047105
buy,9.217e-05,105164.36707119
sell,9.327e-05,1.174043
sell,9.317e-05,2.5747995
sell,9.283e-05,4.74228105
sell,9.286e-05,5.40489337
sell,9.336e-05,6.09920239
sell,9.289e-05,7.55621623
sell,9.337e-05,8.75210907
sell,9.326e-05,12.0
sell,9.293e-05,15.66906046
sell,9.312e-05,20.0
sell,9.315e-05,20.0
sell,9.328e-05,31.4928
sell,9.311e-05,38.21101252
sell,9.29e-05,52.22584124
sell,9.318e-05,67.0966984
sell,9.306e-05,83.93238803
sell,9.305e-05,92.22777183
sell,9.324e-05,143.09075629
sell,9.313e-05,155.3572
sell,9.278e-05,174.84675858
sell,9.307e-05,206.10841654
sell,9.34e-05,218.90098298
sell,9.321e-05,254.83376381
sell,9.329e-05,262.7271767
sell,9.32e-05,290.09917279
sell,9.322e-05,326.72499644
sell,9.304e-05,430.569
sell,9.271e-05,478.42975827
sell,9.276e-05,606.29062582
sell,9.316e-05,683.972414
sell,9.332e-05,725.0104421
sell,9.287e-05,861.41918811
sell,9.333e-05,931.6803234
sell,9.331e-05,1002.15889465
sell,9.28e-05,1072.25609815
sell,9.33e-05,1118.72170999
sell,9.288e-05,1309.08447977
sell,9.31e-05,1724.3497713
sell,9.338e-05,2166.03876241
sell,9.314e-05,2307.69529333
sell,9.335e-05,3000.0
sell,9.299e-05,3623.41382945
sell,9.279e-05,3786.23066067
sell,9.277e-05,4200.2688172
sell,9.319e-05,5415.30789883
sell,9.323e-05,5698.7689067
sell,9.295e-05,7708.77058705
sell,9.308e-05,31805.39197993
sell,9.292e-05,61465.23332302
sell,9.309e-05,63748.1296
