side,price,quantity
buy,1025.0,156556.60055094
buy,1045.0,233290.49448461
buy,1035.0,273939.63068891
buy,1040.0,279581.40400488
buy,1055.0,294515.90571108
buy,1030.0,295347.04897909
buy,1020.0,322934.43976208
buy,1050.0,328236.48537178
buy,1010.0,410964.85553694
buy,1015.0,489095.69412133
sell,1080.0,83924.27965934
sell,1060.0,92205.71521777
sell,1085.0,102757.10841119
sell,1090.0,114339.0981031
sell,1065.0,116509.31442562
sell,1100.0,133309.40671049
sell,1105.0,139363.19109077
sell,1070.0,149019.77643774
sell,1075.0,169375.92848526
sell,1095.0,410551.45502057
