side,price,quantity
buy,1.614e-05,1.0
buy,6.105e-05,1.0
buy,7.6e-05,1.0
buy,3.41e-05,3.0
buy,9.146e-05,8.0
buy,1.2e-05,9.0
buy,3.8e-06,10.0
buy,8.978e-05,10.0
buy,8.45e-05,20.0
buy,9.16e-05,30.0
buy,1.2e-06,50.0
buy,5.508e-05,75.0
buy,5.557e-05,100.0
buy,5.566e-05,100.0
buy,9.213e-05,108.0
buy,3e-05,249.0
buy,4.44e-05,300.0
buy,1e-05,330.0
buy,3.2e-05,500.0
buy,4.9e-05,500.0
buy,8.3e-05,500.0
buy,3.988e-05,589.0
buy,6.5e-05,635.0
buy,9.039e-05,992.0
buy,5e-05,1000.0
buy,4.6e-05,1084.0
buy,9.222e-05,1356.0
buy,9.067e-05,2048.0
buy,8.976e-05,3000.0
buy,5.821e-05,3498.0
buy,8.4e-05,7485.0
buy,8.947e-05,9424.0
buy,9.066e-05,9424.0
buy,1.271e-05,21689.0
buy,1.1e-06,100000.0
buy,1e-08,177327.0
sell,0.00012731,1.0
sell,0.0001312,1.0
sell,0.00013427,1.0
sell,0.00013429,1.0
sell,0.00013554,1.0
sell,0.0001356,1.0
sell,0.00013722,1.0
sell,0.0001319,2.0
sell,0.00013286,2.0
sell,0.00013619,2.0
sell,0.00013634,3.0
sell,0.00012744,4.0
sell,0.00013493,4.0
sell,0.00013188,5.0
sell,0.00013425,5.0
sell,9.453e-05,5.0
sell,9.389e-05,9.0
sell,0.00013284,10.0
sell,9.998e-05,10.0
sell,0.00012922,19.0
sell,0.00010798,20.0
sell,0.00015609,70.0
sell,9.35e-05,80.0
sell,0.00016,99.0
sell,0.000158,100.0
sell,0.000163,100.0
sell,0.0001895,100.0
sell,0.000186,131.0
sell,0.00012255,150.0
sell,0.00012319,200.0
sell,0.000165,200.0
sell,0.000133,300.0
sell,0.000173,300.0
sell,0.000146,308.0
sell,0.00010381,320.0
sell,0.0001228,323.0
sell,0.00018,365.0
sell,9.474e-05,384.0
sell,0.00016499,400.0
sell,0.000101,499.0
sell,0.0001205,533.0
sell,9.397e-05,640.0
sell,0.0001668,1250.0
sell,9.326e-05,1568.0
sell,0.000131,1598.0
sell,0.000142,3000.0
sell,0.00014,5000.0
sell,9.475e-05,7410.0
sell,9.327e-05,9424.0
sell,0.00017126,19397.0
